Loadcase/Frequency
Loadcase,Eigen Mode-X
1982144,13.0266,0.0290069
,13.7296,-0.013164
,17.5273,-0.00644389
,18.0737,-0.00523311
,20.6961,-0.0207824
,21.699,0.0283748
,25.0282,0.0069912
,25.8028,-0.0268305
,26.4408,0.0169237
,29.268,0.0224941
,29.4881,0.00327442
,33.966,0.00287932
,35.8445,0.00564975
,39.5927,0.00172395
,39.6724,0.0136636
,39.8047,-0.0015121
,41.3024,-0.00508875
,43.4211,-0.00106684
,44.4245,0.0147047
,44.7009,0.0179537
,46.6634,0.000860874
,49.4826,0.0104491
,49.6925,0.00353476
,53.7787,-0.00367478
,53.7938,0.00115676
,54.4445,0.00166692
,55.0484,0.00356382
,55.9893,-0.000184776
,61.8346,0.000395663
,63.1548,-0.00194186
,63.6306,0.0136789
,65.5777,0.00080113
,71.6785,0.00868405
,71.7402,-0.00505915
,72.9972,0.00557232
,74.903,-0.0097355
,75.5508,0.0128536
,76.978,-0.00385196
,79.2521,-0.00320152
,80.5575,0.00180928
,81.4874,0.00236086
,84.3341,-0.00162368
,85.2184,-0.00842784
,85.9286,-0.000846256
,88.4938,0.00124454
,88.5368,0.00251404
,90.1877,0.0122487
,91.3942,-0.00582686
,92.3671,-0.000532293
,93.4796,-0.000669024
,96.3202,-0.0104279
,97.7582,0.015107
,98.3074,-0.00165182
,99.817,0.0135202
1982151,13.0266,0.0289691
,13.7296,-0.0132145
,17.5273,-0.00648958
,18.0737,-0.00515084
,20.6961,-0.0206506
,21.699,0.028335
,25.0282,0.00695228
,25.8028,-0.0267644
,26.4408,0.0168462
,29.268,0.0223709
,29.4881,0.00367036
,33.966,0.0035383
,35.8445,0.00548611
,39.5927,0.00184144
,39.6724,0.0139996
,39.8047,-0.00150624
,41.3024,-0.00512608
,43.4211,-0.001261
,44.4245,0.0150941
,44.7009,0.0182967
,46.6634,0.000810692
,49.4826,0.0105968
,49.6925,0.00332482
,53.7787,-0.00369161
,53.7938,0.00104809
,54.4445,0.00175802
,55.0484,0.00364518
,55.9893,-0.000160535
,61.8346,0.000402097
,63.1548,-0.00200236
,63.6306,0.0142763
,65.5777,0.000644092
,71.6785,0.00850913
,71.7402,-0.00545333
,72.9972,0.00609074
,74.903,-0.0101151
,75.5508,0.0136873
,76.978,-0.00395839
,79.2521,-0.00324649
,80.5575,0.00196576
,81.4874,0.00240237
,84.3341,-0.00161557
,85.2184,-0.00848433
,85.9286,-0.00123183
,88.4938,0.00125589
,88.5368,0.00227594
,90.1877,0.0124528
,91.3942,-0.00733988
,92.3671,-0.000553767
,93.4796,-0.00067571
,96.3202,-0.0106064
