Loadcase/Frequency
Loadcase,Eigen Mode-Z
1806281,13.0266,-0.00173797
,13.7296,-0.00268076
,17.5273,-0.000312402
,18.0737,1.21636e-06
,20.6961,-2.80888e-06
,21.699,-0.00270312
,25.0282,-1.39721e-05
,25.8028,-0.00101489
,26.4408,0.00121769
,29.268,0.00541331
,29.4881,0.00017488
,33.966,2.86827e-05
,35.8445,0.000481572
,39.5927,0.00143389
,39.6724,-0.000203707
,39.8047,0.00925847
,41.3024,0.000168492
,43.4211,-2.06312e-06
,44.4245,7.67701e-06
,44.7009,-4.42883e-05
,46.6634,2.85383e-05
,49.4826,-1.78118e-06
,49.6925,-5.43937e-05
,53.7787,0.00027617
,53.7938,-0.000738136
,54.4445,1.45586e-05
,55.0484,2.78348e-07
,55.9893,5.42193e-06
,61.8346,0.00175866
,63.1548,-4.27723e-05
,63.6306,0.000113747
,65.5777,4.39404e-06
,71.6785,-3.6166e-05
,71.7402,-6.27291e-05
,72.9972,4.81424e-05
,74.903,-2.7373e-05
,75.5508,0.000303958
,76.978,3.75711e-05
,79.2521,0.000113671
,80.5575,3.84434e-05
,81.4874,-8.00488e-06
,84.3341,4.05139e-06
,85.2184,-2.44073e-06
,85.9286,0.000602849
,88.4938,0.000110329
,88.5368,-0.000108546
,90.1877,9.57833e-06
,91.3942,0.000105475
,92.3671,0.00188801
,93.4796,-3.89531e-05
,96.3202,8.68682e-05
,97.7582,1.6686e-05
,98.3074,0.00362625
,99.817,-0.000206771
1806327,13.0266,-0.00178751
,13.7296,-0.00262913
,17.5273,-0.000346223
,18.0737,9.38237e-07
,20.6961,-2.97638e-06
,21.699,-0.00268623
,25.0282,-1.39926e-05
,25.8028,-0.00100064
,26.4408,0.0011996
,29.268,0.00542982
,29.4881,0.000175299
,33.966,2.87103e-05
,35.8445,0.000481521
,39.5927,0.00143079
,39.6724,-0.000203245
,39.8047,0.00923899
,41.3024,0.000168285
,43.4211,-2.07745e-06
,44.4245,7.73198e-06
,44.7009,-4.45085e-05
,46.6634,2.87546e-05
,49.4826,-1.77214e-06
,49.6925,-5.44639e-05
,53.7787,0.000276665
,53.7938,-0.000739375
,54.4445,1.45917e-05
,55.0484,5.46355e-07
,55.9893,5.36905e-06
,61.8346,0.00175429
,63.1548,-4.28047e-05
,63.6306,0.000114436
,65.5777,4.41608e-06
,71.6785,-3.6189e-05
,71.7402,-6.30606e-05
,72.9972,4.85156e-05
,74.903,-2.76281e-05
,75.5508,0.000305875
,76.978,3.78562e-05
,79.2521,0.00011411
,80.5575,3.87106e-05
,81.4874,-7.79297e-06
,84.3341,4.16117e-06
,85.2184,-2.88534e-06
,85.9286,0.000609375
,88.4938,0.000111257
,88.5368,-0.000109964
,90.1877,8.61195e-06
,91.3942,0.000105307
,92.3671,0.00183533
,93.4796,-3.7909e-05
,96.3202,8.63641e-05
,97.7582,1.74436e-05
,98.3074,0.00357113
,99.817,-0.00022137
1806850,13.0266,-0.00183721
,13.7296,-0.00257734
,17.5273,-0.000380231
,18.0737,5.94808e-07
,20.6961,-3.13671e-06
,21.699,-0.00266928
,25.0282,-1.39965e-05
,25.8028,-0.000986413
,26.4408,0.00118155
,29.268,0.00544637
,29.4881,0.000175774
,33.966,2.87241e-05
,35.8445,0.00048147
,39.5927,0.00142771
,39.6724,-0.000202779
,39.8047,0.00921937
,41.3024,0.000167969
,43.4211,-2.084e-06
,44.4245,7.71556e-06
,44.7009,-4.47254e-05
,46.6634,2.87603e-05
,49.4826,-1.78545e-06
,49.6925,-5.4536e-05
,53.7787,0.000277103
,53.7938,-0.000740645
,54.4445,1.46148e-05
,55.0484,6.84903e-07
,55.9893,5.34514e-06
,61.8346,0.00175073
,63.1548,-4.30446e-05
,63.6306,0.000115106
,65.5777,4.44143e-06
,71.6785,-3.61921e-05
,71.7402,-6.33882e-05
,72.9972,4.888e-05
,74.903,-2.78807e-05
,75.5508,0.000307738
,76.978,3.81341e-05
,79.2521,0.000114535
,80.5575,3.89556e-05
,81.4874,-7.54359e-06
,84.3341,4.27507e-06
,85.2184,-3.34674e-06
,85.9286,0.000615581
,88.4938,0.000112099
,88.5368,-0.000111284
,90.1877,7.57544e-06
,91.3942,0.000105199
,92.3671,0.00177976
,93.4796,-3.68108e-05
,96.3202,8.58875e-05
,97.7582,1.82158e-05
,98.3074,0.00351667
,99.817,-0.000235826
