Loadcase/Frequency
Loadcase,Eigen Mode-Y
1837108,13.0266,-0.00325576
,13.7296,-0.0159807
,17.5273,-0.0204133
,18.0737,-0.0161064
,20.6961,0.00797472
,21.699,-0.00678037
,25.0282,-0.00574919
,25.8028,-0.00129311
,26.4408,-0.0150582
,29.268,-0.0133999
,29.4881,-0.00674314
,33.966,0.00507856
,35.8445,-0.00183282
,39.5927,0.0168413
,39.6724,0.00175735
,39.8047,-0.00125834
,41.3024,0.0114847
,43.4211,-0.00175563
,44.4245,0.0221341
,44.7009,-0.00306079
,46.6634,-0.00640959
,49.4826,0.00635743
,49.6925,0.00119352
,53.7787,-0.00699245
,53.7938,0.00929253
,54.4445,0.00558492
,55.0484,0.00385174
,55.9893,-0.0068253
,61.8346,0.000700287
,63.1548,-0.00426625
,63.6306,-0.0055586
,65.5777,0.00103538
,71.6785,0.00574606
,71.7402,-0.00061128
,72.9972,-0.00193175
,74.903,-0.00189051
,75.5508,0.00105487
,76.978,-0.000141964
,79.2521,0.00426385
,80.5575,-0.00260417
,81.4874,-0.00180235
,84.3341,-0.00597207
,85.2184,-0.00326909
,85.9286,0.0316311
,88.4938,-0.0122765
,88.5368,0.0122899
,90.1877,0.0037174
,91.3942,0.00210648
,92.3671,-0.000732487
,93.4796,0.000380963
,96.3202,-0.000760451
,97.7582,0.00234083
,98.3074,0.000351922
,99.817,-0.0107174
1829348,13.0266,-0.00331124
,13.7296,-0.0160606
,17.5273,-0.0204867
,18.0737,-0.016233
,20.6961,0.00777538
,21.699,-0.00684284
,25.0282,-0.0056904
,25.8028,-0.00119432
,26.4408,-0.0151742
,29.268,-0.0135424
,29.4881,-0.00736089
,33.966,0.00406506
,35.8445,-0.00208319
,39.5927,0.0166659
,39.6724,0.00126038
,39.8047,-0.00121598
,41.3024,0.0115236
,43.4211,-0.00140741
,44.4245,0.0216691
,44.7009,-0.00244727
,46.6634,-0.00634024
,49.4826,0.0061791
,49.6925,0.000846126
,53.7787,-0.00686551
,53.7938,0.00917787
,54.4445,0.0054568
,55.0484,0.00373432
,55.9893,-0.00686214
,61.8346,0.000707927
,63.1548,-0.00419677
,63.6306,-0.00465344
,65.5777,0.00132996
,71.6785,0.00567067
,71.7402,-0.00125222
,72.9972,-0.00117604
,74.903,-0.00156765
,75.5508,0.00237099
,76.978,0.000453294
,79.2521,0.00424683
,80.5575,-0.00249912
,81.4874,-0.00179491
,84.3341,-0.00595057
,85.2184,-0.00323722
,85.9286,0.0310524
,88.4938,-0.0119485
,88.5368,0.012225
,90.1877,0.00368464
,91.3942,-0.00024172
,92.3671,-0.000760929
,93.4796,0.000408992
,96.3202,-0.000411982
,97.7582,0.00182986
,98.3074,0.000259116
,99.817,-0.0101233
1829358,13.0266,-0.0032835
,13.7296,-0.0160206
,17.5273,-0.0204499
,18.0737,-0.0161698
,20.6961,0.00787509
,21.699,-0.00681157
,25.0282,-0.00571986
,25.8028,-0.00124377
,26.4408,-0.0151162
,29.268,-0.0134711
,29.4881,-0.0070523
,33.966,0.00457186
,35.8445,-0.001958
,39.5927,0.0167535
,39.6724,0.00150892
,39.8047,-0.00123712
,41.3024,0.0115041
,43.4211,-0.00158154
,44.4245,0.0219013
,44.7009,-0.00275399
,46.6634,-0.00637491
,49.4826,0.00626815
,49.6925,0.00101983
,53.7787,-0.00692878
,53.7938,0.00923473
,54.4445,0.00552092
,55.0484,0.00379304
,55.9893,-0.00684356
,61.8346,0.000704103
,63.1548,-0.00423153
,63.6306,-0.0051058
,65.5777,0.00118263
,71.6785,0.00570814
,71.7402,-0.000931758
,72.9972,-0.00155383
,74.903,-0.00172924
,75.5508,0.00171334
,76.978,0.000155603
,79.2521,0.00425553
,80.5575,-0.00255122
,81.4874,-0.00179861
,84.3341,-0.00596138
,85.2184,-0.00325319
,85.9286,0.0313419
,88.4938,-0.0121128
,88.5368,0.0122575
,90.1877,0.00370104
,91.3942,0.000932307
,92.3671,-0.000746723
,93.4796,0.000394983
,96.3202,-0.000586305
,97.7582,0.00208544
,98.3074,0.000305494
,99.817,-0.0104201
1837100,13.0266,-0.00324698
,13.7296,-0.0159685
,17.5273,-0.0204025
,18.0737,-0.0160883
,20.6961,0.00800575
,21.699,-0.0067708
,25.0282,-0.00575879
,25.8028,-0.0013088
,26.4408,-0.0150412
,29.268,-0.0133787
,29.4881,-0.00665422
,33.966,0.00523094
,35.8445,-0.00179558
,39.5927,0.0168661
,39.6724,0.00183533
,39.8047,-0.00126401
,41.3024,0.0114778
,43.4211,-0.00180781
,44.4245,0.0222036
,44.7009,-0.00315345
,46.6634,-0.00642048
,49.4826,0.00638535
,49.6925,0.00124488
,53.7787,-0.00700851
,53.7938,0.00930082
,54.4445,0.0056057
,55.0484,0.00387033
,55.9893,-0.00681863
,61.8346,0.00069907
,63.1548,-0.00427751
,63.6306,-0.00569271
,65.5777,0.000990829
,71.6785,0.00575208
,71.7402,-0.000515386
,72.9972,-0.00204455
,74.903,-0.0019449
,75.5508,0.000861495
,76.978,-0.000230814
,79.2521,0.0042675
,80.5575,-0.00261453
,81.4874,-0.00180424
,84.3341,-0.00597525
,85.2184,-0.00327974
,85.9286,0.0317205
,88.4938,-0.012332
,88.5368,0.0122972
,90.1877,0.00372727
,91.3942,0.00245688
,92.3671,-0.000728517
,93.4796,0.000376369
,96.3202,-0.000818524
,97.7582,0.00242425
,98.3074,0.000366592
,99.817,-0.0108089
1829356,13.0266,-0.00332
,13.7296,-0.0160727
,17.5273,-0.0204974
,18.0737,-0.0162513
,20.6961,0.00774439
,21.699,-0.0068524
,25.0282,-0.00568084
,25.8028,-0.00117866
,26.4408,-0.0151913
,29.268,-0.0135636
,29.4881,-0.00745023
,33.966,0.00391282
,35.8445,-0.00212046
,39.5927,0.0166409
,39.6724,0.00118238
,39.8047,-0.00121024
,41.3024,0.0115305
,43.4211,-0.00135517
,44.4245,0.0215992
,44.7009,-0.00235449
,46.6634,-0.00632934
,49.4826,0.00615095
,49.6925,0.000794675
,53.7787,-0.00684914
,53.7938,0.00916883
,54.4445,0.00543609
,55.0484,0.00371575
,55.9893,-0.00686874
,61.8346,0.000709137
,63.1548,-0.00418555
,63.6306,-0.00451905
,65.5777,0.00137448
,71.6785,0.00566437
,71.7402,-0.00134819
,72.9972,-0.00106301
,74.903,-0.00151372
,75.5508,0.00256486
,76.978,0.000542372
,79.2521,0.00424321
,80.5575,-0.00248847
,81.4874,-0.00179291
,84.3341,-0.00594726
,85.2184,-0.00322626
,85.9286,0.030963
,88.4938,-0.0118935
,88.5368,0.0122174
,90.1877,0.00367486
,91.3942,-0.000592414
,92.3671,-0.00076491
,93.4796,0.000413574
,96.3202,-0.00035411
,97.7582,0.00174654
,98.3074,0.000244258
,99.817,-0.0100313
