Loadcase/Frequency
Loadcase,Eigen Mode-X
1223208,13.1725,-5.45658e-05
,14.202,-4.58187e-05
,17.899,1.72657e-06
,18.2176,0.00146153
,20.8101,-0.00820575
,21.9768,5.54039e-05
,25.2076,-0.00644589
,26.0408,1.18902e-05
,26.7245,1.07288e-05
,29.5885,3.14437e-05
,30.2952,0.00550802
,35.0594,-0.00313912
,36.5251,-7.21654e-06
,40.2821,-0.00178628
,40.4429,0.00824505
,41.7889,-0.00434556
,44.1545,-0.0003243
,45.2973,-0.00134384
,47.8055,-0.00411883
,48.4276,-0.000680654
,49.2908,-0.0157298
,50.7466,-3.84423e-05
,52.5241,-0.00181355
,57.2578,0.000137691
,62.2457,-6.68017e-05
,62.465,0.0073877
,64.2981,-0.00136441
,64.9729,1.79469e-05
,66.107,-0.00564552
,66.9148,7.17457e-05
,67.9321,-0.00189791
,73.2667,8.73891e-05
,73.6471,-0.00539829
,75.1951,-0.000152417
,76.3107,0.00330687
,77.9703,-1.67822e-05
,78.6271,-0.000395649
,80.1933,-2.64817e-05
,81.0863,-2.08118e-05
,83.3348,-0.00175374
,84.7171,-0.000634523
,85.445,6.77755e-05
,86.787,0.000720645
,87.326,-2.55282e-05
,89.4985,-6.85747e-05
,89.6172,-0.000757862
,92.0527,0.00466103
,93.827,-0.000198413
,97.1972,-0.00508777
,97.8548,-0.000589486
,99.2412,4.70998e-05
,99.9553,-0.000795275
1223236,13.1725,1.3792e-05
,14.202,8.30166e-06
,17.899,-3.60148e-05
,18.2176,0.00146178
,20.8101,-0.00820553
,21.9768,3.48989e-05
,25.2076,-0.00644577
,26.0408,-5.93934e-06
,26.7245,-8.8308e-06
,29.5885,4.92632e-05
,30.2952,0.00550781
,35.0594,-0.00313904
,36.5251,-7.00419e-06
,40.2821,-0.00175795
,40.4429,0.00825067
,41.7889,-0.00434576
,44.1545,-0.0003243
,45.2973,-0.0013439
,47.8055,-0.00411888
,48.4276,-0.000680174
,49.2908,-0.0157298
,50.7466,-3.87115e-05
,52.5241,-0.00181359
,57.2578,0.000137673
,62.2457,-6.8666e-05
,62.465,0.00738771
,64.2981,-0.00136444
,64.9729,1.79794e-05
,66.107,-0.00564504
,66.9148,7.17656e-05
,67.9321,-0.0018983
,73.2667,8.73893e-05
,73.6471,-0.00539849
,75.1951,-0.000152793
,76.3107,0.00330684
,77.9703,-1.47347e-05
,78.6271,-0.000396131
,80.1933,-1.86087e-05
,81.0863,-2.10673e-05
,83.3348,-0.00175368
,84.7171,-0.00063425
,85.445,6.81475e-05
,86.787,0.000720497
,87.326,-3.04995e-05
,89.4985,-6.77929e-05
,89.6172,-0.000757549
,92.0527,0.00466162
,93.827,-0.00012658
,97.1972,-0.005087
,97.8548,-0.000592157
,99.2412,-1.8984e-06
,99.9553,-0.000801298
1223625,13.1725,8.22688e-05
,14.202,6.25168e-05
,17.899,-7.38795e-05
,18.2176,0.00146201
,20.8101,-0.00820532
,21.9768,1.43584e-05
,25.2076,-0.00644564
,26.0408,-2.37466e-05
,26.7245,-2.83413e-05
,29.5885,6.70902e-05
,30.2952,0.00550761
,35.0594,-0.00313898
,36.5251,-6.78628e-06
,40.2821,-0.00172914
,40.4429,0.00825648
,41.7889,-0.00434604
,44.1545,-0.000324293
,45.2973,-0.00134394
,47.8055,-0.00411895
,48.4276,-0.000679688
,49.2908,-0.0157298
,50.7466,-3.89874e-05
,52.5241,-0.00181362
,57.2578,0.000137661
,62.2457,-7.05578e-05
,62.465,0.00738771
,64.2981,-0.00136445
,64.9729,1.80056e-05
,66.107,-0.00564447
,66.9148,7.17727e-05
,67.9321,-0.00189848
,73.2667,8.73891e-05
,73.6471,-0.00539871
,75.1951,-0.000153179
,76.3107,0.00330683
,77.9703,-1.26637e-05
,78.6271,-0.000396625
,80.1933,-9.54201e-06
,81.0863,-2.12757e-05
,83.3348,-0.00175374
,84.7171,-0.000634031
,85.445,6.85108e-05
,86.787,0.000720424
,87.326,-3.53861e-05
,89.4985,-6.70366e-05
,89.6172,-0.000757335
,92.0527,0.00466228
,93.827,-5.38718e-05
,97.1972,-0.00508636
,97.8548,-0.00059484
,99.2412,-5.06797e-05
,99.9553,-0.00080726
1223206,13.1725,1.37886e-05
,14.202,8.29874e-06
,17.899,-3.60038e-05
,18.2176,0.00146412
,20.8101,-0.00820596
,21.9768,3.49019e-05
,25.2076,-0.00644571
,26.0408,-5.94078e-06
,26.7245,-8.83067e-06
,29.5885,4.92857e-05
,30.2952,0.00550988
,35.0594,-0.00313968
,36.5251,-7.006e-06
,40.2821,-0.00175795
,40.4429,0.00825054
,41.7889,-0.00434463
,44.1545,-0.000324225
,45.2973,-0.0013451
,47.8055,-0.00412018
,48.4276,-0.000680353
,49.2908,-0.0157332
,50.7466,-3.87181e-05
