Loadcase/Frequency
Loadcase,Eigen Mode-Z
1223208,13.1725,-0.00137194
,14.202,0.00294634
,17.899,0.00064843
,18.2176,-1.25679e-05
,20.8101,-8.046e-06
,21.9768,-0.00259591
,25.2076,-7.80311e-06
,26.0408,-0.0010407
,26.7245,-0.000916787
,29.5885,-0.00546631
,30.2952,3.56783e-05
,35.0594,1.15937e-05
,36.5251,0.000507903
,40.2821,0.0092132
,40.4429,0.00195938
,41.7889,-0.000173066
,44.1545,3.21137e-07
,45.2973,1.97883e-05
,47.8055,3.76917e-05
,48.4276,-0.000218195
,49.2908,5.84361e-05
,50.7466,0.000149263
,52.5241,1.84976e-06
,57.2578,1.25648e-06
,62.2457,0.000811223
,62.465,1.02876e-05
,64.2981,-1.87113e-06
,64.9729,0.000137222
,66.107,-2.86417e-05
,66.9148,1.77291e-07
,67.9321,-2.27157e-06
,73.2667,8.2742e-06
,73.6471,1.61756e-05
,75.1951,0.00014047
,76.3107,1.26961e-05
,77.9703,-0.000356815
,78.6271,7.77566e-05
,80.1933,-0.00365472
,81.0863,-1.92161e-05
,83.3348,3.17966e-05
,84.7171,-9.30502e-06
,85.445,-3.14851e-05
,86.787,2.33347e-05
,87.326,0.000527059
,89.4985,-8.52381e-05
,89.6172,8.84081e-06
,92.0527,-1.5165e-06
,93.827,0.00373909
,97.1972,-3.38936e-05
,97.8548,2.91128e-05
,99.2412,-0.00316504
,99.9553,-0.000484135
1223236,13.1725,-0.0013718
,14.202,0.00294645
,17.899,0.000648283
,18.2176,-1.47802e-05
,20.8101,-7.36343e-06
,21.9768,-0.00259595
,25.2076,-7.97693e-06
,26.0408,-0.00104067
,26.7245,-0.000916736
,29.5885,-0.00546629
,30.2952,3.46664e-05
,35.0594,1.15082e-05
,36.5251,0.000507904
,40.2821,0.009212
,40.4429,0.00196677
,41.7889,-0.000180131
,44.1545,9.73371e-07
,45.2973,2.27162e-05
,47.8055,3.69692e-05
,48.4276,-0.000218353
,49.2908,5.45912e-05
,50.7466,0.000149249
,52.5241,2.71657e-06
,57.2578,1.72361e-06
,62.2457,0.000811189
,62.465,1.12488e-05
,64.2981,-1.21165e-06
,64.9729,0.000137226
,66.107,-3.0496e-05
,66.9148,-3.37246e-07
,67.9321,5.92455e-06
,73.2667,8.27813e-06
,73.6471,1.59151e-05
,75.1951,0.000140444
,76.3107,1.3154e-05
,77.9703,-0.000356864
,78.6271,7.68916e-05
,80.1933,-0.0036531
,81.0863,-1.9407e-05
,83.3348,5.5355e-05
,84.7171,-5.5e-06
,85.445,-2.87802e-05
,86.787,1.20087e-05
,87.326,0.000527592
,89.4985,-8.4782e-05
,89.6172,1.62565e-05
,92.0527,2.90413e-06
,93.827,0.00373988
,97.1972,-3.08346e-05
,97.8548,2.92449e-05
,99.2412,-0.00316447
,99.9553,-0.000486855
1223625,13.1725,-0.00137182
,14.202,0.00294643
,17.899,0.000648298
,18.2176,-1.70093e-05
,20.8101,-6.6758e-06
,21.9768,-0.00259594
,25.2076,-8.14486e-06
,26.0408,-0.00104068
,26.7245,-0.000916748
,29.5885,-0.0054663
,30.2952,3.36502e-05
,35.0594,1.14221e-05
,36.5251,0.0005079
,40.2821,0.00921018
,40.4429,0.00197406
,41.7889,-0.000187217
,44.1545,1.63682e-06
,45.2973,2.56533e-05
,47.8055,3.62097e-05
,48.4276,-0.000218533
,49.2908,5.06223e-05
,50.7466,0.000149245
,52.5241,3.58503e-06
,57.2578,2.19604e-06
,62.2457,0.000811196
,62.465,1.2263e-05
,64.2981,-5.54552e-07
,64.9729,0.000137238
,66.107,-3.25014e-05
,66.9148,-8.57568e-07
,67.9321,1.42144e-05
,73.2667,8.283e-06
,73.6471,1.56431e-05
,75.1951,0.00014043
,76.3107,1.3634e-05
,77.9703,-0.000356948
,78.6271,7.60363e-05
,80.1933,-0.00365305
,81.0863,-1.96584e-05
,83.3348,7.89003e-05
,84.7171,-1.69852e-06
,85.445,-2.60693e-05
,86.787,6.87184e-07
,87.326,0.000528032
,89.4985,-8.43071e-05
,89.6172,2.36575e-05
,92.0527,7.34599e-06
,93.827,0.00373966
,97.1972,-2.77612e-05
,97.8548,2.93849e-05
,99.2412,-0.00316416
,99.9553,-0.000489581
1223206,13.1725,-0.001305
,14.202,0.0029993
,17.899,0.000612128
,18.2176,-1.46763e-05
,20.8101,-7.12507e-06
,21.9768,-0.00261603
,25.2076,-7.83845e-06
,26.0408,-0.00105901
,26.7245,-0.000937224
,29.5885,-0.00544789
,30.2952,3.43713e-05
,35.0594,1.15909e-05
,36.5251,0.000508007
,40.2821,0.00923476
,40.4429,0.0019715
,41.7889,-0.00018053
,44.1545,1.00685e-06
,45.2973,2.27979e-05
,47.8055,3.68855e-05
,48.4276,-0.000217926
,49.2908,5.44152e-05
,50.7466,0.000148994
,52.5241,2.74305e-06
,57.2578,1.74036e-06
,62.2457,0.00080906
,62.465,1.12854e-05
,64.2981,-1.1654e-06
,64.9729,0.000137277
,66.107,-3.03391e-05
,66.9148,-3.78262e-07
,67.9321,6.53458e-06
,73.2667,8.27947e-06
,73.6471,1.56944e-05
,75.1951,0.000139998
,76.3107,1.32181e-05
,77.9703,-0.000354347
,78.6271,7.63092e-05
,80.1933,-0.0036537
,81.0863,-2.02373e-05
,83.3348,5.53764e-05
,84.7171,-5.16628e-06
,85.445,-2.82012e-05
,86.787,1.18337e-05
,87.326,0.000519385
,89.4985,-8.33748e-05
,89.6172,1.6435e-05
,92.0527,3.75252e-06
,93.827,0.00380829
,97.1972,-2.99281e-05
,97.8548,2.58749e-05
,99.2412,-0.00322908
,99.9553,-0.000494556
1223522,13.1725,-0.00143859
,14.202,0.00289361
,17.899,0.000684422
,18.2176,-1.49631e-05
,20.8101,-7.58705e-06
,21.9768,-0.00257587
,25.2076,-8.11162e-06
,26.0408,-0.00102232
,26.7245,-0.000896216
,29.5885,-0.00548474
,30.2952,3.48922e-05
,35.0594,1.14454e-05
,36.5251,0.000507814
,40.2821,0.0091901
,40.4429,0.00196228
,41.7889,-0.000179846
,44.1545,9.46675e-07
,45.2973,2.27026e-05
,47.8055,3.7075e-05
,48.4276,-0.000218758
,49.2908,5.48024e-05
,50.7466,0.000149492
,52.5241,2.7227e-06
,57.2578,1.72113e-06
,62.2457,0.000813234
,62.465,1.11847e-05
,64.2981,-1.2154e-06
,64.9729,0.000137168
,66.107,-3.07586e-05
,66.9148,-3.23338e-07
,67.9321,5.76371e-06
,73.2667,8.27623e-06
,73.6471,1.61264e-05
,75.1951,0.00014087
,76.3107,1.31345e-05
,77.9703,-0.000359296
,78.6271,7.74548e-05
,80.1933,-0.00365239
,81.0863,-1.86026e-05
,83.3348,5.50326e-05
,84.7171,-5.90967e-06
,85.445,-2.9358e-05
,86.787,1.23258e-05
,87.326,0.000535468
,89.4985,-8.61354e-05
,89.6172,1.59069e-05
,92.0527,2.12824e-06
,93.827,0.00367003
,97.1972,-3.18917e-05
,97.8548,3.25666e-05
,99.2412,-0.00310062
,99.9553,-0.000479164
