Loadcase/Frequency
Loadcase,Eigen Mode-X
1226975,13.1725,0.000315198
,14.202,-0.000353359
,17.899,0.001733
,18.2176,0.0172312
,20.8101,0.0426533
,21.9768,-0.00216087
,25.2076,0.015727
,26.0408,0.00103174
,26.7245,0.00079523
,29.5885,0.000796315
,30.2952,-0.0290771
,35.0594,-0.0327387
,36.5251,0.0045186
,40.2821,0.00264208
,40.4429,-0.0150662
,41.7889,-0.037754
,44.1545,-0.0151288
,45.2973,-0.0750308
,47.8055,0.0823489
,48.4276,0.00764225
,49.2908,-0.0264323
,50.7466,0.00256493
,52.5241,-0.00417028
,57.2578,-0.00344295
,62.2457,-0.000363536
,62.465,-0.00395141
,64.2981,0.00430527
,64.9729,-0.000559607
,66.107,-0.00151046
,66.9148,-0.024831
,67.9321,0.000303315
,73.2667,0.00164291
,73.6471,0.00508391
,75.1951,0.00272024
,76.3107,0.00729751
,77.9703,-0.00361884
,78.6271,-0.0133543
,80.1933,-0.0001983
,81.0863,0.00707338
,83.3348,-0.0116026
,84.7171,0.0244251
,85.445,0.020497
,86.787,-0.0255033
,87.326,0.00127345
,89.4985,-0.000976803
,89.6172,-0.0159853
,92.0527,-0.00859987
,93.827,0.000122262
,97.1972,0.00481414
,97.8548,-0.00486783
,99.2412,0.00387199
,99.9553,-0.0349869
1226979,13.1725,-0.000115866
,14.202,6.47101e-05
,17.899,0.00038511
,18.2176,0.0172372
,20.8101,0.0426692
,21.9768,-7.61868e-05
,25.2076,0.0157295
,26.0408,5.59604e-05
,26.7245,-4.60419e-05
,29.5885,-0.000209001
,30.2952,-0.0290686
,35.0594,-0.0327309
,36.5251,-0.0001875
,40.2821,0.00266974
,40.4429,-0.0150601
,41.7889,-0.0377547
,44.1545,-0.0151456
,45.2973,-0.0750367
,47.8055,0.0823541
,48.4276,0.00723115
,49.2908,-0.0264092
,50.7466,-0.000417382
,52.5241,-0.0041432
,57.2578,-0.00344553
,62.2457,0.000182117
,62.465,-0.00394336
,64.2981,0.00430392
,64.9729,-0.000402391
,66.107,-0.00150782
,66.9148,-0.0247995
,67.9321,0.00030322
,73.2667,-0.000465058
,73.6471,0.00509396
,75.1951,-0.000913389
,76.3107,0.00723112
,77.9703,-0.00478407
,78.6271,-0.0128309
,80.1933,-6.09705e-06
,81.0863,0.00176157
,83.3348,-0.0116897
,84.7171,0.0245747
,85.445,0.0206346
,86.787,-0.0255059
,87.326,0.00161697
,89.4985,-0.000718316
,89.6172,-0.0159944
,92.0527,-0.00861673
,93.827,0.000119994
,97.1972,0.00471651
,97.8548,-0.00390263
,99.2412,0.00384068
,99.9553,-0.0351744
1227959,13.1725,-0.000115734
,14.202,6.3812e-05
,17.899,0.000381788
,18.2176,0.0170388
,20.8101,0.0425356
,21.9768,-7.53853e-05
,25.2076,0.0157329
,26.0408,5.54962e-05
,26.7245,-4.45651e-05
,29.5885,-0.000198349
,30.2952,-0.0276536
,35.0594,-0.0302063
,36.5251,-0.000179581
,40.2821,0.00284915
,40.4429,-0.0160079
,41.7889,-0.0387649
,44.1545,-0.0152105
,45.2973,-0.0739597
,47.8055,0.0831197
,48.4276,0.00730279
,49.2908,-0.0267297
,50.7466,-0.000434777
,52.5241,-0.00568407
,57.2578,-0.00425219
,62.2457,0.000183031
,62.465,-0.0039342
,64.2981,0.00407193
,64.9729,-0.00039185
,66.107,-0.00146475
,66.9148,-0.0221813
,67.9321,0.000351998
,73.2667,-0.000460879
,73.6471,0.00539877
,75.1951,-0.000926028
,76.3107,0.00805326
,77.9703,-0.00511226
,78.6271,-0.0150625
,80.1933,-1.20923e-05
,81.0863,0.00158664
,83.3348,-0.0120036
,84.7171,0.0236828
,85.445,0.0197743
,86.787,-0.0270186
,87.326,0.00161966
,89.4985,-0.000721697
,89.6172,-0.0162075
,92.0527,-0.00921651
,93.827,0.000124452
,97.1972,0.00457596
,97.8548,-0.00391593
,99.2412,0.00387336
,99.9553,-0.0356997
1226980,13.1725,-0.000115998
,14.202,6.56085e-05
,17.899,0.000388431
,18.2176,0.0174355
,20.8101,0.0428027
,21.9768,-7.69873e-05
,25.2076,0.0157261
,26.0408,5.64246e-05
,26.7245,-4.75188e-05
,29.5885,-0.000219653
,30.2952,-0.0304836
,35.0594,-0.0352554
,36.5251,-0.000195417
,40.2821,0.00249033
,40.4429,-0.0141123
,41.7889,-0.0367443
,44.1545,-0.0150808
,45.2973,-0.0761137
,47.8055,0.0815885
,48.4276,0.0071595
,49.2908,-0.0260886
,50.7466,-0.000399991
,52.5241,-0.00260232
,57.2578,-0.00263871
,62.2457,0.000181206
,62.465,-0.00395251
,64.2981,0.00453592
,64.9729,-0.000412936
,66.107,-0.00155089
,66.9148,-0.0274177
,67.9321,0.000254444
,73.2667,-0.000469237
,73.6471,0.00478908
,75.1951,-0.000900752
,76.3107,0.00640893
,77.9703,-0.00445583
,78.6271,-0.0105992
,80.1933,-1.02495e-07
,81.0863,0.00193652
,83.3348,-0.0113759
,84.7171,0.0254666
,85.445,0.0214948
,86.787,-0.0239931
,87.326,0.00161428
,89.4985,-0.000714932
,89.6172,-0.0157812
,92.0527,-0.00801695
,93.827,0.000115535
,97.1972,0.00485704
,97.8548,-0.0038893
,99.2412,0.00380799
,99.9553,-0.0346491
1227925,13.1725,-0.000546941
,14.202,0.00048279
,17.899,-0.000962819
,18.2176,0.0172431
,20.8101,0.042685
,21.9768,0.00200855
,25.2076,0.0157321
,26.0408,-0.000919842
,26.7245,-0.000887333
,29.5885,-0.00121434
,30.2952,-0.0290598
,35.0594,-0.0327226
,36.5251,-0.00489371
,40.2821,0.00269743
,40.4429,-0.0150542
,41.7889,-0.0377554
,44.1545,-0.0151624
,45.2973,-0.0750424
,47.8055,0.0823594
,48.4276,0.00682004
,49.2908,-0.026386
,50.7466,-0.00339977
,52.5241,-0.00411634
,57.2578,-0.00344813
,62.2457,0.000727787
,62.465,-0.0039353
,64.2981,0.00430253
,64.9729,-0.000245175
,66.107,-0.00150517
,66.9148,-0.0247675
,67.9321,0.000303133
,73.2667,-0.00257308
,73.6471,0.005104
,75.1951,-0.00454711
,76.3107,0.0071648
,77.9703,-0.00594932
,78.6271,-0.0123077
,80.1933,0.000186109
,81.0863,-0.00355038
,83.3348,-0.0117768
,84.7171,0.0247241
,85.445,0.0207719
,86.787,-0.0255086
,87.326,0.0019605
,89.4985,-0.000459815
,89.6172,-0.0160034
,92.0527,-0.00863364
,93.827,0.000117725
,97.1972,0.00461882
,97.8548,-0.00293736
,99.2412,0.00380935
,99.9553,-0.0353618
