Loadcase/Frequency
Loadcase,Eigen Mode-Y
1226975,13.1725,9.42418e-05
,14.202,-0.000155906
,17.899,0.000132727
,18.2176,0.0114509
,20.8101,-0.0222986
,21.9768,-0.000445898
,25.2076,-0.0111553
,26.0408,2.26685e-05
,26.7245,9.81843e-05
,29.5885,-0.000198931
,30.2952,-0.0095498
,35.0594,0.00467643
,36.5251,-0.00406323
,40.2821,0.00449728
,40.4429,-0.0236646
,41.7889,-0.0303805
,44.1545,0.0090233
,45.2973,0.0165407
,47.8055,-0.0160949
,48.4276,-0.00328503
,49.2908,0.000601452
,50.7466,-0.00490596
,52.5241,-0.00784502
,57.2578,-0.0793985
,62.2457,0.000210276
,62.465,-0.000204798
,64.2981,-0.00442343
,64.9729,-0.00116424
,66.107,2.63227e-05
,66.9148,0.0363573
,67.9321,-0.000894884
,73.2667,-0.00134742
,73.6471,0.0131085
,75.1951,0.00226768
,76.3107,0.00689639
,77.9703,-0.0054589
,78.6271,-0.0366202
,80.1933,-1.33974e-05
,81.0863,-0.00373354
,83.3348,0.00939783
,84.7171,-0.0228438
,85.445,-0.0156546
,86.787,0.0241273
,87.326,-0.000816961
,89.4985,0.000963352
,89.6172,0.0139797
,92.0527,0.00960102
,93.827,-0.000119683
,97.1972,-0.0009631
,97.8548,0.00358117
,99.2412,-0.00203499
,99.9553,0.0187595
1226979,13.1725,-0.000185688
,14.202,6.72984e-06
,17.899,-0.000319583
,18.2176,0.0114526
,20.8101,-0.0222945
,21.9768,0.000186082
,25.2076,-0.011155
,26.0408,-2.59077e-05
,26.7245,-4.64157e-05
,29.5885,-7.90201e-05
,30.2952,-0.00955118
,35.0594,0.00466397
,36.5251,0.000228611
,40.2821,0.00442595
,40.4429,-0.023685
,41.7889,-0.0303857
,44.1545,0.0090444
,45.2973,0.0165533
,47.8055,-0.0162435
,48.4276,-0.00136046
,49.2908,0.000545857
,50.7466,0.000122358
,52.5241,-0.00787253
,57.2578,-0.0793842
,62.2457,-3.08044e-05
,62.465,-0.000205911
,64.2981,-0.00440961
,64.9729,0.000176268
,66.107,2.93768e-05
,66.9148,0.0363543
,67.9321,-0.000896741
,73.2667,-0.000301381
,73.6471,0.0131598
,75.1951,7.70154e-05
,76.3107,0.00684891
,77.9703,-0.0050484
,78.6271,-0.036687
,80.1933,-4.05377e-05
,81.0863,-0.003285
,83.3348,0.00940761
,84.7171,-0.0228756
,85.445,-0.0156903
,86.787,0.0241135
,87.326,-0.00102851
,89.4985,0.000764632
,89.6172,0.0139858
,92.0527,0.00961185
,93.827,-0.000117123
