Loadcase/Frequency
Loadcase,Eigen Mode-Z
1226975,13.1725,0.1194
,14.202,-0.045196
,17.899,0.0943767
,18.2176,-0.00039098
,20.8101,-0.000638027
,21.9768,-0.054968
,25.2076,-4.43343e-05
,26.0408,-0.000364608
,26.7245,0.000593518
,29.5885,-0.0117534
,30.2952,0.00019541
,35.0594,0.000251754
,36.5251,-0.0773202
,40.2821,-4.22607e-05
,40.4429,-0.00013314
,41.7889,-0.000127653
,44.1545,0.000179907
,45.2973,0.000148335
,47.8055,-0.00221561
,48.4276,0.0251734
,49.2908,-0.000619831
,50.7466,0.0452576
,52.5241,-2.5677e-05
,57.2578,-0.000194222
,62.2457,-0.0208288
,62.465,-0.000144876
,64.2981,0.000325506
,64.9729,0.032878
,66.107,5.59319e-05
,66.9148,0.000271391
,67.9321,-4.55616e-05
,73.2667,0.00211072
,73.6471,0.000336293
,75.1951,0.00449119
,76.3107,0.00187448
,77.9703,-0.0563204
,78.6271,0.0143482
,80.1933,0.00454946
,81.0863,-0.0758587
,83.3348,-0.000965669
,84.7171,0.00143296
,85.445,0.00126203
,86.787,-0.000819626
,87.326,-0.0199676
,89.4985,-0.0143268
,89.6172,0.00128379
,92.0527,-0.000109842
,93.827,0.000137222
,97.1972,0.00339216
,97.8548,-0.0338269
,99.2412,-0.00414703
,99.9553,0.00434248
1226979,13.1725,0.119399
,14.202,-0.0451957
,17.899,0.0943758
,18.2176,-0.000390983
,20.8101,-0.000638026
,21.9768,-0.0549667
,25.2076,-4.43366e-05
,26.0408,-0.000364707
,26.7245,0.000593222
,29.5885,-0.0117531
,30.2952,0.000195429
,35.0594,0.000251752
,36.5251,-0.0773114
,40.2821,-4.24128e-05
,40.4429,-0.000133146
,41.7889,-0.000127593
,44.1545,0.00017996
,45.2973,0.000148444
,47.8055,-0.00221602
,48.4276,0.0251773
,49.2908,-0.000619903
,50.7466,0.0452679
,52.5241,-2.57145e-05
,57.2578,-0.00019405
,62.2457,-0.0208293
,62.465,-0.000144868
,64.2981,0.000325532
,64.9729,0.0328807
,66.107,5.59424e-05
,66.9148,0.000271373
,67.9321,-4.55641e-05
,73.2667,0.00211285
,73.6471,0.000336342
,75.1951,0.00448671
,76.3107,0.00187434
,77.9703,-0.0563195
,78.6271,0.0143483
,80.1933,0.0045494
,81.0863,-0.0758578
,83.3348,-0.00096563
,84.7171,0.00143287
,85.445,0.00126192
,86.787,-0.000819623
,87.326,-0.0199681
,89.4985,-0.0143272
,89.6172,0.00128383
,92.0527,-0.000109815
,93.827,0.000137227
,97.1972,0.00339237
,97.8548,-0.033829
,99.2412,-0.00414685
,99.9553,0.00434276
1227959,13.1725,0.119358
,14.202,-0.0450695
,17.899,0.0939118
,18.2176,-0.000388975
,20.8101,-0.000631853
,21.9768,-0.0541956
,25.2076,-4.30042e-05
,26.0408,-0.000921521
,26.7245,0.000194557
,29.5885,-0.0124614
,30.2952,0.000203964
,35.0594,0.000270368
,36.5251,-0.0835832
,40.2821,3.12621e-05
,40.4429,-0.000114763
,41.7889,-0.000125435
,44.1545,0.000152894
,45.2973,0.000136556
,47.8055,-0.00209392
,48.4276,0.0234016
,49.2908,-0.000562205
,50.7466,0.0394641
,52.5241,1.01849e-05
,57.2578,-0.000208229
,62.2457,-0.0203054
,62.465,-0.000139058
,64.2981,0.000313387
,64.9729,0.0319145
,66.107,5.52015e-05
,66.9148,0.000297171
,67.9321,-4.40751e-05
,73.2667,-2.02615e-06
,73.6471,0.000302283
,75.1951,0.00400566
,76.3107,0.00187274
,77.9703,-0.0573561
,78.6271,0.0147169
,80.1933,0.00468815
,81.0863,-0.079454
,83.3348,-0.00102698
,84.7171,0.00154792
,85.445,0.00137273
,86.787,-0.000812567
,87.326,-0.0195908
,89.4985,-0.014012
,89.6172,0.00127315
,92.0527,-0.000129588
,93.827,0.000133821
,97.1972,0.00324093
,97.8548,-0.0324376
,99.2412,-0.00424131
,99.9553,0.0041671
1226980,13.1725,0.11944
,14.202,-0.0453219
,17.899,0.0948397
,18.2176,-0.000392991
,20.8101,-0.0006442
,21.9768,-0.0557378
,25.2076,-4.56699e-05
,26.0408,0.000192106
,26.7245,0.000991887
,29.5885,-0.0110448
,30.2952,0.000186899
,35.0594,0.00023314
,36.5251,-0.0710396
,40.2821,-0.000116089
,40.4429,-0.000151522
,41.7889,-0.000129737
,44.1545,0.000207028
,45.2973,0.000160351
,47.8055,-0.00233813
,48.4276,0.0269529
,49.2908,-0.000677592
,50.7466,0.0510716
,52.5241,-6.16104e-05
,57.2578,-0.000179853
,62.2457,-0.0213532
,62.465,-0.000150675
,64.2981,0.000337675
,64.9729,0.0338469
,66.107,5.6684e-05
,66.9148,0.000245579
,67.9321,-4.7053e-05
,73.2667,0.00422771
,73.6471,0.000370392
,75.1951,0.00496771
,76.3107,0.00187592
,77.9703,-0.0552828
,78.6271,0.0139796
,80.1933,0.00441064
,81.0863,-0.0722614
,83.3348,-0.000904272
,84.7171,0.0013178
,85.445,0.00115109
,86.787,-0.00082666
,87.326,-0.0203452
,89.4985,-0.0146423
,89.6172,0.00129451
,92.0527,-9.0036e-05
,93.827,0.000140632
,97.1972,0.00354379
,97.8548,-0.0352201
,99.2412,-0.00405236
,99.9553,0.00451844
1227925,13.1725,0.119398
,14.202,-0.0451954
,17.899,0.0943749
,18.2176,-0.000390985
,20.8101,-0.000638025
,21.9768,-0.0549655
,25.2076,-4.43392e-05
,26.0408,-0.0003648
,26.7245,0.000592945
,29.5885,-0.0117529
,30.2952,0.000195448
,35.0594,0.000251751
,36.5251,-0.0773032
,40.2821,-4.2556e-05
,40.4429,-0.00013315
,41.7889,-0.000127535
,44.1545,0.000180011
,45.2973,0.000148552
,47.8055,-0.00221641
,48.4276,0.025181
,49.2908,-0.000619969
,50.7466,0.0452775
,52.5241,-2.57491e-05
,57.2578,-0.000193892
,62.2457,-0.0208298
,62.465,-0.00014486
,64.2981,0.000325556
,64.9729,0.0328833
,66.107,5.59525e-05
,66.9148,0.000271362
,67.9321,-4.55667e-05
,73.2667,0.00211486
,73.6471,0.000336389
,75.1951,0.00448251
,76.3107,0.0018742
,77.9703,-0.0563187
,78.6271,0.0143483
,80.1933,0.00454935
,81.0863,-0.0758569
,83.3348,-0.000965589
,84.7171,0.00143277
,85.445,0.00126181
,86.787,-0.000819609
,87.326,-0.0199685
,89.4985,-0.0143276
,89.6172,0.00128387
,92.0527,-0.000109784
,93.827,0.000137232
,97.1972,0.00339257
,97.8548,-0.0338309
,99.2412,-0.00414668
,99.9553,0.00434305
