Loadcase/Frequency
Loadcase,Eigen Mode-Y
1228116,13.1725,0.0023234
,14.202,-0.00144211
,17.899,0.00375529
,18.2176,0.01307
,20.8101,-0.0212322
,21.9768,-0.00547331
,25.2076,-0.0111849
,26.0408,0.000401883
,26.7245,0.00123014
,29.5885,-0.0012573
,30.2952,-0.0211841
,35.0594,-0.0160011
,36.5251,-0.038469
,40.2821,0.00359069
,40.4429,-0.0157005
,41.7889,-0.0220236
,44.1545,0.00938703
,45.2973,0.00757275
,47.8055,-0.0212035
,48.4276,-0.0192518
,49.2908,0.00368265
,50.7466,-0.0449641
,52.5241,0.00505605
,57.2578,-0.0728641
,62.2457,0.00213579
,62.465,-0.000271392
,64.2981,-0.00262372
,64.9729,-0.0119565
,66.107,-0.000352588
,66.9148,0.0148283
,67.9321,-0.00128125
,73.2667,-0.0097634
,73.6471,0.0101881
,75.1951,0.0198212
,76.3107,0.000508687
,77.9703,-0.00604898
,78.6271,-0.0177104
,80.1933,0.000254984
,81.0863,-0.0059402
,83.3348,0.0118972
,84.7171,-0.0152394
,85.445,-0.00828169
,86.787,0.0366746
,87.326,0.000856244
,89.4985,0.00258189
,89.6172,0.0156777
,92.0527,0.014445
,93.827,-0.00017679
,97.1972,-0.000730585
,97.8548,0.0117907
,99.2412,-0.00306276
,99.9553,0.022455
1226887,13.1725,0.00232324
,14.202,-0.00144117
,17.899,0.00375695
,18.2176,0.0132228
,20.8101,-0.0211294
,21.9768,-0.00547242
,25.2076,-0.0111875
,26.0408,0.000401135
,26.7245,0.00122822
,29.5885,-0.00126691
,30.2952,-0.0222736
,35.0594,-0.0179448
,36.5251,-0.0384877
,40.2821,0.0034527
,40.4429,-0.0149707
,41.7889,-0.0212458
,44.1545,0.0094369
,45.2973,0.0067435
,47.8055,-0.0217927
,48.4276,-0.0193104
,49.2908,0.00392958
,50.7466,-0.0449622
,52.5241,0.0062425
,57.2578,-0.072243
,62.2457,0.00213607
,62.465,-0.000278427
,64.2981,-0.00244512
,64.9729,-0.0119664
,66.107,-0.000385749
,66.9148,0.0128125
,67.9321,-0.0013188
,73.2667,-0.00977084
,73.6471,0.00995327
,75.1951,0.0198301
,76.3107,-0.000124307
,77.9703,-0.0057986
,78.6271,-0.0159914
,80.1933,0.000259898
,81.0863,-0.00581306
,83.3348,0.0121387
,84.7171,-0.0145525
,85.445,-0.00761911
,86.787,0.0378392
,87.326,0.000854818
,89.4985,0.00258504
,89.6172,0.0158418
,92.0527,0.0149067
,93.827,-0.000180228
,97.1972,-0.000622662
,97.8548,0.0118035
,99.2412,-0.00308814
,99.9553,0.022859
1226859,13.1725,0.00232306
,14.202,-0.00144024
,17.899,0.0037586
,18.2176,0.0133755
,20.8101,-0.0210266
,21.9768,-0.00547152
,25.2076,-0.0111901
,26.0408,0.000400387
,26.7245,0.00122629
,29.5885,-0.00127653
,30.2952,-0.0233631
,35.0594,-0.0198886
,36.5251,-0.0385063
,40.2821,0.00331471
,40.4429,-0.0142409
,41.7889,-0.0204679
,44.1545,0.00948677
,45.2973,0.00591426
,47.8055,-0.022382
,48.4276,-0.0193691
,49.2908,0.00417653
,50.7466,-0.0449603
,52.5241,0.00742895
,57.2578,-0.0716218
,62.2457,0.00213637
,62.465,-0.000285462
,64.2981,-0.00226652
,64.9729,-0.0119764
,66.107,-0.00041891
,66.9148,0.0107967
,67.9321,-0.00135635
,73.2667,-0.00977828
,73.6471,0.00971849
,75.1951,0.0198389
,76.3107,-0.000757307
,77.9703,-0.00554815
,78.6271,-0.0142724
,80.1933,0.000264807
,81.0863,-0.00568582
,83.3348,0.0123802
,84.7171,-0.0138656
,85.445,-0.00695656
,86.787,0.0390039
,87.326,0.00085342
,89.4985,0.00258822
,89.6172,0.0160058
,92.0527,0.0153685
,93.827,-0.000183668
,97.1972,-0.00051475
,97.8548,0.0118164
,99.2412,-0.00311352
,99.9553,0.0232631
1226888,13.1725,0.00232438
,14.202,-0.00144292
,17.899,0.00375629
,18.2176,0.0130244
,20.8101,-0.021263
,21.9768,-0.00547566
,25.2076,-0.0111842
,26.0408,0.00040226
,26.7245,0.00123119
,29.5885,-0.00125483
,30.2952,-0.0208586
,35.0594,-0.0154202
,36.5251,-0.0384777
,40.2821,0.00363217
,40.4429,-0.0159186
,41.7889,-0.022256
,44.1545,0.00937222
,45.2973,0.00782102
,47.8055,-0.0210277
,48.4276,-0.0192407
,49.2908,0.00360927
,50.7466,-0.0449813
,52.5241,0.0047017
,57.2578,-0.0730507
,62.2457,0.00213646
,62.465,-0.000269244
,64.2981,-0.00267723
,64.9729,-0.0119579
,66.107,-0.000342674
,66.9148,0.0154313
,67.9321,-0.00127005
,73.2667,-0.00976483
,73.6471,0.0102582
,75.1951,0.0198259
,76.3107,0.000697905
,77.9703,-0.00612554
,78.6271,-0.0182241
,80.1933,0.000253645
,81.0863,-0.00598056
,83.3348,0.0118256
,84.7171,-0.0154456
,85.445,-0.00848027
,86.787,0.0363282
,87.326,0.000857229
,89.4985,0.0025816
,89.6172,0.0156295
,92.0527,0.0143077
,93.827,-0.000175779
,97.1972,-0.000763353
,97.8548,0.0117904
,99.2412,-0.00305574
,99.9553,0.0223359
1228177,13.1725,0.00232209
,14.202,-0.00143942
,17.899,0.00375762
,18.2176,0.0134211
,20.8101,-0.0209958
,21.9768,-0.00546919
,25.2076,-0.0111908
,26.0408,0.000400012
,26.7245,0.00122524
,29.5885,-0.00127899
,30.2952,-0.0236884
,35.0594,-0.020469
,36.5251,-0.0384976
,40.2821,0.00327326
,40.4429,-0.014023
,41.7889,-0.0202357
,44.1545,0.00950156
,45.2973,0.00566614
,47.8055,-0.0225576
,48.4276,-0.0193802
,49.2908,0.00424985
,50.7466,-0.044943
