Loadcase/Frequency
Loadcase,Eigen Mode-X
1226358,13.1725,-0.000547217
,14.202,0.000484653
,17.899,-0.000955958
,18.2176,0.0176536
,20.8101,0.042961
,21.9768,0.00200691
,25.2076,0.0157248
,26.0408,-0.000918892
,26.7245,-0.000890399
,29.5885,-0.0012364
,30.2952,-0.0319885
,35.0594,-0.0379478
,36.5251,-0.00491014
,40.2821,0.00232597
,40.4429,-0.0130917
,41.7889,-0.0356628
,44.1545,-0.0150274
,45.2973,-0.0772683
,47.8055,0.08077
,48.4276,0.00667133
,49.2908,-0.0257209
,50.7466,-0.00336372
,52.5241,-0.000926405
,57.2578,-0.00177933
,62.2457,0.000725866
,62.465,-0.00395391
,64.2981,0.00478229
,64.9729,-0.000266939
,66.107,-0.00159418
,66.9148,-0.030184
,67.9321,0.000202103
,73.2667,-0.00258165
,73.6471,0.00447274
,75.1951,-0.00452077
,76.3107,0.00546212
,77.9703,-0.00526943
,78.6271,-0.00768747
,80.1933,0.000198519
,81.0863,-0.00318858
,83.3348,-0.0111249
,84.7171,0.0265655
,85.445,0.0225487
,86.787,-0.0223716
,87.326,0.00195457
,89.4985,-0.000452673
,89.6172,-0.0155587
,92.0527,-0.0073899
,93.827,0.000108465
,97.1972,0.00490873
,97.8548,-0.00290889
,99.2412,0.00374071
,99.9553,-0.0342654
1226360,13.1725,-0.000116035
,14.202,6.58749e-05
,17.899,0.000389433
,18.2176,0.0174949
,20.8101,0.0428422
,21.9768,-7.72411e-05
,25.2076,0.0157248
,26.0408,5.65707e-05
,26.7245,-4.79547e-05
,29.5885,-0.000222838
,30.2952,-0.0309078
,35.0594,-0.0360121
,36.5251,-0.000197737
,40.2821,0.00243642
,40.4429,-0.0138275
,41.7889,-0.0364398
,44.1545,-0.0150603
,45.2973,-0.0764325
,47.8055,0.0813531
,48.4276,0.0071375
,49.2908,-0.0259906
,50.7466,-0.000394713
,52.5241,-0.0021396
,57.2578,-0.00239875
,62.2457,0.000180911
,62.465,-0.00395485
,64.2981,0.00460491
,64.9729,-0.000416055
,66.107,-0.00156364
,66.9148,-0.0281992
,67.9321,0.000239719
,73.2667,-0.00047042
,73.6471,0.0046975
,75.1951,-0.000896789
,76.3107,0.00616129
,77.9703,-0.00435674
,78.6271,-0.00992911
,80.1933,1.69291e-06
,81.0863,0.0019886
,83.3348,-0.0112787
,84.7171,0.025728
,85.445,0.0217479
,86.787,-0.0235318
,87.326,0.00161306
,89.4985,-0.000713695
,89.6172,-0.0157126
,92.0527,-0.007834
,93.827,0.000114156
,97.1972,0.00489797
,97.8548,-0.00388403
,99.2412,0.00379695
,99.9553,-0.0344799
1226424,13.1725,-0.000116136
,14.202,6.65658e-05
,17.899,0.000391994
,18.2176,0.0176477
,20.8101,0.0429451
,21.9768,-7.7862e-05
,25.2076,0.0157223
,26.0408,5.69297e-05
,26.7245,-4.90906e-05
,29.5885,-0.000231039
,30.2952,-0.0319973
,35.0594,-0.0379561
,36.5251,-0.000203836
,40.2821,0.00229828
,40.4429,-0.0130977
,41.7889,-0.035662
,44.1545,-0.0150106
,45.2973,-0.0772626
,47.8055,0.0807647
,48.4276,0.00708243
,49.2908,-0.0257441
,50.7466,-0.000381334
,52.5241,-0.000953265
,57.2578,-0.00177668
,62.2457,0.000180212
,62.465,-0.00396196
,64.2981,0.00478368
,64.9729,-0.000424185
,66.107,-0.00159683
,66.9148,-0.030216
,67.9321,0.000202192
,73.2667,-0.000473648
,73.6471,0.00446267
,75.1951,-0.000887082
,76.3107,0.00552842
,77.9703,-0.00410411
,78.6271,-0.00821064
,80.1933,6.30947e-06
,81.0863,0.0021234
,83.3348,-0.0110378
,84.7171,0.026416
,85.445,0.0224114
,86.787,-0.0223689
,87.326,0.00161108
,89.4985,-0.000711144
,89.6172,-0.0155496
,92.0527,-0.00737299
,93.827,0.000110733
,97.1972,0.0050064
,97.8548,-0.00387405
,99.2412,0.00377205
,99.9553,-0.034078
1227762,13.1725,-0.000116237
,14.202,6.72567e-05
,17.899,0.000394555
,18.2176,0.0178004
,20.8101,0.043048
,21.9768,-7.8483e-05
,25.2076,0.0157197
,26.0408,5.72891e-05
,26.7245,-5.02263e-05
,29.5885,-0.00023924
,30.2952,-0.0330869
,35.0594,-0.0399
,36.5251,-0.000209927
,40.2821,0.00216014
,40.4429,-0.0123679
,41.7889,-0.0348843
,44.1545,-0.0149609
,45.2973,-0.0780926
,47.8055,0.0801762
,48.4276,0.00702736
,49.2908,-0.0254976
,50.7466,-0.000367942
,52.5241,0.000233094
,57.2578,-0.0011547
,62.2457,0.000179511
,62.465,-0.00396908
,64.2981,0.00496243
,64.9729,-0.000432311
,66.107,-0.00163002
,66.9148,-0.0322328
,67.9321,0.000164661
,73.2667,-0.000476865
,73.6471,0.00422785
,75.1951,-0.000877366
,76.3107,0.00489551
,77.9703,-0.00385145
,78.6271,-0.00649215
,80.1933,1.09251e-05
,81.0863,0.00225821
,83.3348,-0.0107967
,84.7171,0.027104
,85.445,0.0230747
,86.787,-0.0212058
,87.326,0.00160908
,89.4985,-0.000708588
,89.6172,-0.0153865
,92.0527,-0.00691188
,93.827,0.000107309
,97.1972,0.00511481
,97.8548,-0.00386405
,99.2412,0.00374712
,99.9553,-0.0336758
1227636,13.1725,0.000314924
,14.202,-0.000351502
,17.899,0.00173988
,18.2176,0.0176417
,20.8101,0.0429292
,21.9768,-0.00216254
,25.2076,0.0157197
,26.0408,0.00103271
,26.7245,0.000792178
,29.5885,0.000774275
,30.2952,-0.0320059
,35.0594,-0.0379639
,36.5251,0.00450225
