Loadcase/Frequency
Loadcase,Eigen Mode-Z
1226358,13.1725,0.124379
,14.202,-0.0502049
,17.899,0.110644
,18.2176,-0.000457091
,20.8101,-0.000827368
,21.9768,-0.0802398
,25.2076,-7.62581e-05
,26.0408,0.0118715
,26.7245,0.0109739
,29.5885,0.00113272
,30.2952,3.91338e-05
,35.0594,5.03019e-05
,36.5251,-0.01086
,40.2821,-0.000514473
,40.4429,-0.000212782
,41.7889,-9.50429e-05
,44.1545,0.000428802
,45.2973,0.000208647
,47.8055,-0.00254985
,48.4276,0.033521
,49.2908,-0.000993516
,50.7466,0.09116
,52.5241,-0.000362684
,57.2578,-0.000112268
,62.2457,-0.0281075
,62.465,-0.00024863
,64.2981,0.000372773
,64.9729,0.0330901
,66.107,2.61977e-05
,66.9148,-0.00021756
,67.9321,-4.89806e-05
,73.2667,0.0304335
,73.6471,0.000284113
,75.1951,0.0467462
,76.3107,0.00260728
,77.9703,-0.0409111
,78.6271,0.00770009
,80.1933,0.00207781
,81.0863,-0.00805257
,83.3348,0.000159688
,84.7171,-0.000478487
,85.445,-0.000504179
,86.787,-0.000761089
,87.326,-0.0246425
,89.4985,-0.0179093
,89.6172,0.00141407
,92.0527,0.000139815
,93.827,0.000169853
,97.1972,0.00481744
,97.8548,-0.0476547
,99.2412,-0.00359404
,99.9553,0.00684735
1226360,13.1725,0.124892
,14.202,-0.0506356
,17.899,0.111989
,18.2176,-0.000462436
,20.8101,-0.000842264
,21.9768,-0.0822781
,25.2076,-7.8486e-05
,26.0408,0.0126744
,26.7245,0.011729
,29.5885,0.00185591
,30.2952,3.0325e-05
,35.0594,4.65946e-05
,36.5251,-0.0097573
,40.2821,-0.000493101
,40.4429,-0.00020319
,41.7889,-8.92056e-05
,44.1545,0.000429378
,45.2973,0.000203584
,47.8055,-0.00246474
,48.4276,0.0326683
,49.2908,-0.000977143
,50.7466,0.0904446
,52.5241,-0.000364151
,57.2578,-0.00011747
,62.2457,-0.0283917
,62.465,-0.000254331
,64.2981,0.000365825
,64.9729,0.0321442
,66.107,2.21517e-05
,66.9148,-0.000245941
,67.9321,-4.78708e-05
,73.2667,0.031463
,73.6471,0.000244137
,75.1951,0.050965
,76.3107,0.00268717
