Loadcase/Frequency
Loadcase,Eigen Mode-Z
210651,13.1725,0.0139684
,14.202,0.029118
,17.899,-0.0337145
,18.2176,0.000126701
,20.8101,0.000110686
,21.9768,-0.0166762
,25.2076,-9.34657e-06
,26.0408,0.0168796
,26.7245,0.0232486
,29.5885,-0.01066
,30.2952,-1.40614e-05
,35.0594,1.83987e-05
,36.5251,-0.000718254
,40.2821,-0.0128509
,40.4429,-0.00274715
,41.7889,0.000261363
,44.1545,-5.86596e-05
,45.2973,-4.76518e-05
,47.8055,0.000396077
,48.4276,-0.00412609
,49.2908,-6.30611e-06
,50.7466,0.00170435
,52.5241,-4.26919e-05
,57.2578,1.05194e-05
,62.2457,0.000491256
,62.465,2.69568e-05
,64.2981,3.37257e-05
,64.9729,0.00147433
,66.107,8.31427e-05
,66.9148,-9.54384e-06
,67.9321,7.14037e-06
,73.2667,9.53886e-06
,73.6471,-0.000112607
,75.1951,-0.000136041
,76.3107,-7.01068e-05
,77.9703,0.00283729
,78.6271,-0.000612185
,80.1933,-0.00311871
,81.0863,-0.000967105
,83.3348,-8.06062e-05
,84.7171,0.000466278
,85.445,0.000523098
,86.787,-0.000122375
,87.326,-0.00684374
,89.4985,-6.1564e-05
,89.6172,0.000169035
,92.0527,-9.01188e-05
,93.827,-0.00368539
,97.1972,0.00107425
,97.8548,-0.00119826
,99.2412,-0.0392192
,99.9553,-0.0042339
211177,13.1725,0.0142945
,14.202,0.0294276
,17.899,-0.0329033
,18.2176,0.000122085
,20.8101,9.62787e-05
,21.9768,-0.0161445
,25.2076,-6.85477e-06
,26.0408,0.0176407
,26.7245,0.0220514
,29.5885,-0.0106916
,30.2952,-1.33322e-05
,35.0594,1.8013e-05
,36.5251,-0.000686693
,40.2821,-0.0127487
,40.4429,-0.0027269
,41.7889,0.000257911
,44.1545,-5.54739e-05
,45.2973,-4.38563e-05
,47.8055,0.000368511
,48.4276,-0.00385348
,49.2908,-1.45976e-05
,50.7466,0.00157997
,52.5241,-3.74853e-05
,57.2578,9.66559e-06
,62.2457,0.000256551
,62.465,1.6273e-05
,64.2981,3.00358e-05
,64.9729,0.00134922
,66.107,7.86134e-05
,66.9148,-9.25452e-06
,67.9321,6.10495e-06
,73.2667,1.19315e-06
,73.6471,-7.54114e-05
,75.1951,-0.000176245
,76.3107,-6.17747e-05
,77.9703,0.00277087
,78.6271,-0.000583093
,80.1933,-0.00308953
,81.0863,-0.000983903
,83.3348,-6.4927e-05
,84.7171,0.000477326
,85.445,0.000481519
,86.787,-0.000109507
,87.326,-0.00665179
,89.4985,3.08166e-05
,89.6172,0.000122308
,92.0527,-9.10253e-05
,93.827,-0.00367391
,97.1972,0.00108023
,97.8548,-0.00133315
,99.2412,-0.0389608
,99.9553,-0.00418396
210670,13.1725,0.0142939
,14.202,0.0294275
,17.899,-0.0329044
,18.2176,0.000123928
,20.8101,0.000110064
,21.9768,-0.0161461
,25.2076,-8.74267e-06
,26.0408,0.0176383
,26.7245,0.022056
,29.5885,-0.0106909
,30.2952,-1.10857e-05
,35.0594,1.83721e-05
,36.5251,-0.000686894
,40.2821,-0.0127495
,40.4429,-0.00272587
,41.7889,0.000258923
,44.1545,-5.48694e-05
,45.2973,-4.58453e-05
,47.8055,0.000369
,48.4276,-0.00385399
,49.2908,-1.01426e-05
,50.7466,0.00158025
,52.5241,-3.97265e-05
,57.2578,9.33905e-06
,62.2457,0.000256493
,62.465,2.60733e-05
,64.2981,3.06525e-05
,64.9729,0.00134978
,66.107,8.23162e-05
,66.9148,-8.96397e-06
,67.9321,7.81407e-06
,73.2667,1.86567e-06
,73.6471,-0.000109476
,75.1951,-0.000176538
,76.3107,-7.03856e-05
,77.9703,0.0027681
,78.6271,-0.000594512
,80.1933,-0.00309031
,81.0863,-0.000983789
,83.3348,-7.70927e-05
,84.7171,0.000451157
,85.445,0.000506022
,86.787,-0.000117602
,87.326,-0.00665398
,89.4985,4.33273e-05
,89.6172,0.000157198
,92.0527,-8.68739e-05
,93.827,-0.00367453
,97.1972,0.00108678
,97.8548,-0.00133683
,99.2412,-0.0389669
,99.9553,-0.00421048
210594,13.1725,0.0142946
,14.202,0.0294276
,17.899,-0.0329033
,18.2176,0.000125991
,20.8101,0.000124876
,21.9768,-0.0161446
,25.2076,-1.08024e-05
,26.0408,0.0176407
,26.7245,0.0220519
,29.5885,-0.0106914
,30.2952,-8.81226e-06
,35.0594,1.8868e-05
,36.5251,-0.000686733
,40.2821,-0.0127493
,40.4429,-0.00272461
,41.7889,0.000259835
,44.1545,-5.40955e-05
,45.2973,-4.77011e-05
,47.8055,0.000369302
,48.4276,-0.00385321
,49.2908,-5.64102e-06
,50.7466,0.00157999
,52.5241,-4.19114e-05
,57.2578,9.03772e-06
,62.2457,0.000256049
,62.465,3.5904e-05
,64.2981,3.14915e-05
,64.9729,0.00134931
,66.107,8.62943e-05
,66.9148,-8.64968e-06
,67.9321,9.55587e-06
,73.2667,2.47563e-06
,73.6471,-0.000144984
,75.1951,-0.000177404
,76.3107,-7.99704e-05
,77.9703,0.00276502
,78.6271,-0.000606362
,80.1933,-0.00309016
,81.0863,-0.000984593
,83.3348,-9.06332e-05
,84.7171,0.00042321
,85.445,0.00053218
,86.787,-0.000126669
,87.326,-0.00665117
,89.4985,3.55086e-05
,89.6172,0.000196431
,92.0527,-8.25992e-05
,93.827,-0.00367446
,97.1972,0.00109316
,97.8548,-0.00133837
,99.2412,-0.0389579
,99.9553,-0.00423757
210671,13.1725,0.0141314
,14.202,0.0292728
,17.899,-0.033309
,18.2176,0.000125316
,20.8101,0.000110317
,21.9768,-0.0164106
,25.2076,-9.03939e-06
,26.0408,0.01726
,26.7245,0.0226504
,29.5885,-0.0106758
,30.2952,-1.25954e-05
,35.0594,1.8397e-05
,36.5251,-0.000702485
,40.2821,-0.0127999
,40.4429,-0.00273646
,41.7889,0.000260115
,44.1545,-5.67544e-05
,45.2973,-4.67067e-05
,47.8055,0.000382504
,48.4276,-0.0039898
,49.2908,-8.28367e-06
,50.7466,0.0016422
,52.5241,-4.1172e-05
,57.2578,9.94339e-06
,62.2457,0.000373975
,62.465,2.63552e-05
,64.2981,3.22727e-05
,64.9729,0.00141184
,66.107,8.26977e-05
,66.9148,-9.25041e-06
,67.9321,7.45559e-06
,73.2667,5.68074e-06
,73.6471,-0.000110874
,75.1951,-0.000156364
,76.3107,-7.0417e-05
,77.9703,0.00280245
,78.6271,-0.000603288
,80.1933,-0.00310422
,81.0863,-0.000975572
,83.3348,-7.88672e-05
,84.7171,0.000458823
,85.445,0.000514391
,86.787,-0.000120011
,87.326,-0.00674707
,89.4985,-1.37548e-05
,89.6172,0.000163219
,92.0527,-8.84954e-05
,93.827,-0.00367976
,97.1972,0.00108036
,97.8548,-0.00126699
,99.2412,-0.0390886
,99.9553,-0.00422165
