Loadcase/Frequency
Loadcase,Eigen Mode-Z
282191,13.1725,-0.0207521
,14.202,-0.000717428
,17.899,0.0221909
,18.2176,-9.06515e-05
,20.8101,-0.000130731
,21.9768,-0.00172045
,25.2076,-3.30438e-05
,26.0408,-0.0116355
,26.7245,-0.0097197
,29.5885,-0.0275281
,30.2952,0.000306514
,35.0594,-1.91365e-05
,36.5251,0.00238656
,40.2821,-0.00426248
,40.4429,-0.000876204
,41.7889,5.79744e-05
,44.1545,3.82948e-05
,45.2973,2.78566e-06
,47.8055,-0.00025595
,48.4276,0.00246593
,49.2908,-4.8515e-05
,50.7466,-0.000793344
,52.5241,2.55112e-05
,57.2578,8.53649e-07
,62.2457,0.000842726
,62.465,-7.12665e-06
,64.2981,-1.78069e-05
,64.9729,-0.00157377
,66.107,2.39198e-05
,66.9148,1.25885e-05
,67.9321,-3.39949e-05
,73.2667,-8.34244e-05
,73.6471,3.32141e-05
,75.1951,-0.000705092
,76.3107,-7.94934e-05
,77.9703,0.000525084
,78.6271,-0.000123351
,80.1933,0.00762302
,81.0863,-0.000701577
,83.3348,-7.47922e-05
,84.7171,0.000227494
,85.445,0.000341803
,86.787,-0.000208925
,87.326,-0.00825676
,89.4985,-0.000736479
,89.6172,0.000177602
,92.0527,-4.02409e-05
,93.827,-0.00533858
,97.1972,0.000677722
,97.8548,-0.00161146
,99.2412,-0.0148001
,99.9553,-0.00165213
281682,13.1725,-0.0207514
,14.202,-0.000717187
,17.899,0.0221921
,18.2176,-8.73761e-05
,20.8101,-0.00012431
,21.9768,-0.00171899
,25.2076,-2.2233e-05
,26.0408,-0.0116326
,26.7245,-0.00972466
,29.5885,-0.0275298
,30.2952,0.000298754
,35.0594,-1.47441e-05
,36.5251,0.00238684
,40.2821,-0.00426212
,40.4429,-0.000878265
,41.7889,5.43604e-05
,44.1545,3.94863e-05
,45.2973,8.09146e-06
,47.8055,-0.000254497
,48.4276,0.00246654
,49.2908,-4.78848e-05
,50.7466,-0.000793492
,52.5241,2.67596e-05
,57.2578,1.41458e-06
,62.2457,0.000843916
,62.465,-5.27077e-07
,64.2981,-1.97459e-05
,64.9729,-0.00157426
,66.107,3.47404e-05
,66.9148,1.22349e-05
,67.9321,-3.7515e-05
,73.2667,-8.31883e-05
,73.6471,1.8571e-05
,75.1951,-0.00070553
,76.3107,-5.73967e-05
,77.9703,0.000525456
,78.6271,-0.000118493
,80.1933,0.00762418
,81.0863,-0.000700536
,83.3348,-9.89506e-05
,84.7171,0.000232851
,85.445,0.000335194
,86.787,-0.000217699
,87.326,-0.00826037
,89.4985,-0.000726883
,89.6172,0.000192369
,92.0527,7.79734e-06
,93.827,-0.00534016
,97.1972,0.000700737
,97.8548,-0.0016091
,99.2412,-0.0148023
,99.9553,-0.00164711
281606,13.1725,-0.020752
,14.202,-0.000717523
,17.899,0.0221912
,18.2176,-8.38068e-05
,20.8101,-0.000117131
,21.9768,-0.00172001
,25.2076,-1.01755e-05
,26.0408,-0.0116348
,26.7245,-0.00972038
,29.5885,-0.027528
,30.2952,0.00029029
,35.0594,-9.94662e-06
,36.5251,0.00238657
,40.2821,-0.00426168
,40.4429,-0.00088047
,41.7889,5.04664e-05
,44.1545,4.08293e-05
,45.2973,1.38276e-05
,47.8055,-0.000252897
,48.4276,0.00246641
,49.2908,-4.71826e-05
,50.7466,-0.000793466
,52.5241,2.81073e-05
,57.2578,2.0086e-06
,62.2457,0.000842147
,62.465,6.60959e-06
,64.2981,-2.16127e-05
,64.9729,-0.00157402
,66.107,4.67436e-05
,66.9148,1.18555e-05
,67.9321,-4.13275e-05
,73.2667,-8.30109e-05
,73.6471,2.7364e-06
,75.1951,-0.000706455
,76.3107,-3.37564e-05
,77.9703,0.000528213
,78.6271,-0.000113736
,80.1933,0.0076229
,81.0863,-0.000700626
,83.3348,-0.000125895
,84.7171,0.000238752
,85.445,0.000328052
,86.787,-0.000227398
,87.326,-0.00825775
,89.4985,-0.000732907
,89.6172,0.00020929
,92.0527,6.10763e-05
,93.827,-0.00534023
,97.1972,0.000725874
,97.8548,-0.00160379
