Loadcase/Frequency
Loadcase,Eigen Mode-Y
798406,25.3696,0.00194833
,27.7137,-0.000263235
,80.9519,0.15598
,134.152,0.000251024
,171.94,-0.00111813
,271.693,-0.000775472
,310.81,0.0130672
,338.264,-0.121659
,386.474,-0.901025
,439.773,0.00127292
,470.661,0.00174965
,527.275,0.0673206
,533.235,0.206644
,611.388,0.00404579
,630.192,-0.216119
,691.852,0.00766222
,696.378,0.00977806
,713.75,-0.0261658
,732.279,0.0551265
,812.364,-0.00236419
,973.656,0.838081
885893,25.3696,0.0019472
,27.7137,-0.000262338
,80.9519,0.15598
,134.152,0.000256508
,171.94,-0.000565032
,271.693,-0.000392555
,310.81,0.00652233
,338.264,-0.121656
,386.474,-0.90103
,439.773,0.000556752
,470.661,0.000877755
,527.275,0.0673107
,533.235,0.206637
,611.388,0.00203401
,630.192,-0.216118
,691.852,0.00382022
,696.378,0.00486373
,713.75,-0.0261677
,732.279,0.0551219
,812.364,-0.00122093
,973.656,0.838092
798388,25.3696,0.00194381
,27.7137,-0.000259644
,80.9519,0.15598
,134.152,0.000272945
,171.94,0.00109468
,271.693,0.000757059
,310.81,-0.0131117
,338.264,-0.121661
,386.474,-0.901024
,439.773,-0.00159326
,470.661,-0.00173865
,527.275,0.0673192
,533.235,0.206645
,611.388,-0.00399903
,630.192,-0.216114
,691.852,-0.00770719
,696.378,-0.00987942
,713.75,-0.0261606
,732.279,0.0551305
,812.364,0.00220881
,973.656,0.838081
798430,25.3696,0.00194607
,27.7137,-0.00026144
,80.9519,0.155979
,134.152,0.000261991
,171.94,-1.17882e-05
,271.693,-9.33442e-06
,310.81,-2.23449e-05
,338.264,-0.121656
,386.474,-0.901031
,439.773,-0.000159947
,470.661,5.60792e-06
,527.275,0.067307
,533.235,0.206635
,611.388,2.30563e-05
,630.192,-0.216117
,691.852,-2.22499e-05
,696.378,-5.06478e-05
,713.75,-0.0261674
,732.279,0.0551209
,812.364,-7.7694e-05
,973.656,0.838095
885897,25.3696,0.00194494
,27.7137,-0.000260542
,80.9519,0.155979
,134.152,0.00026747
,171.94,0.000541513
,271.693,0.000374007
,310.81,-0.00656697
,338.264,-0.121657
,386.474,-0.901029
,439.773,-0.00087686
,470.661,-0.000866644
,527.275,0.0673099
,533.235,0.206637
,611.388,-0.00198759
,630.192,-0.216116
,691.852,-0.00386495
,696.378,-0.00496506
,713.75,-0.026165
,732.279,0.0551238
,812.364,0.00106554
,973.656,0.838091
