Loadcase/Frequency
Loadcase,Eigen Mode-Z
885894,25.3696,-0.000208538
,27.7137,0.000178482
,80.9519,2.8945e-06
,134.152,0.00153623
,171.94,0.196333
,271.693,0.139565
,310.81,-0.554702
,338.264,-3.21522e-05
,386.474,5.19127e-05
,439.773,-0.194159
,470.661,-0.177533
,527.275,-3.39417e-05
,533.235,-1.11472e-05
,611.388,-0.214297
,630.192,6.91385e-05
,691.852,-0.788446
,696.378,-0.11644
,713.75,0.000356473
,732.279,0.000228485
,812.364,0.181845
,973.656,-1.0923e-05
798394,25.3696,-0.00020967
,27.7137,0.000179379
,80.9519,2.8888e-06
,134.152,0.00154161
,171.94,0.196863
,271.693,0.1399
,310.81,-0.561271
,338.264,-3.25703e-05
,386.474,5.21631e-05
,439.773,-0.19479
,470.661,-0.178365
,527.275,-3.43829e-05
,533.235,-1.10616e-05
,611.388,-0.216444
,630.192,7.04671e-05
,691.852,-0.79222
,696.378,-0.121348
,713.75,0.000357669
,732.279,0.000229342
,812.364,0.182996
,973.656,-1.09871e-05
798430,25.3696,-0.000207407
,27.7137,0.000177585
,80.9519,2.89203e-06
,134.152,0.00153086
,171.94,0.195803
,271.693,0.139232
,310.81,-0.548132
,338.264,-3.16548e-05
,386.474,5.17041e-05
,439.773,-0.193529
,470.661,-0.176702
,527.275,-3.34888e-05
,533.235,-1.12439e-05
,611.388,-0.212147
,630.192,6.78067e-05
,691.852,-0.784673
,696.378,-0.111532
,713.75,0.000355403
,732.279,0.000227529
,812.364,0.180693
,973.656,-1.09268e-05
885890,25.3696,-0.000206275
,27.7137,0.000176687
,80.9519,2.88676e-06
,134.152,0.00152548
,171.94,0.195274
,271.693,0.138901
,310.81,-0.541561
,338.264,-3.11555e-05
,386.474,5.13603e-05
,439.773,-0.192902
,470.661,-0.175872
,527.275,-3.32527e-05
,533.235,-1.14885e-05
,611.388,-0.209994
,630.192,6.64721e-05
,691.852,-0.780903
,696.378,-0.106625
,713.75,0.000354162
,732.279,0.000226541
,812.364,0.179542
,973.656,-1.06657e-05
798412,25.3696,-0.000205143
,27.7137,0.00017579
,80.9519,2.91574e-06
,134.152,0.00152011
,171.94,0.194746
,271.693,0.13857
,310.81,-0.53499
,338.264,-3.09445e-05
,386.474,5.11113e-05
,439.773,-0.192277
,470.661,-0.175042
,527.275,-3.2717e-05
,533.235,-1.14704e-05
,611.388,-0.207839
,630.192,6.51711e-05
,691.852,-0.777133
,696.378,-0.101718
,713.75,0.000352741
,732.279,0.000225973
,812.364,0.17839
,973.656,-1.07381e-05
