Loadcase/Frequency
Loadcase,Eigen Mode-Y
1110403,25.3696,0.000995736
,27.7137,0.00231853
,80.9519,-0.0781036
,134.152,-0.00184524
,171.94,1.14413e-05
,271.693,6.36534e-06
,310.81,1.5526e-06
,338.264,-0.033026
,386.474,0.0036129
,439.773,3.48986e-05
,470.661,-4.73734e-05
,527.275,0.00571154
,533.235,0.00594806
,611.388,-2.19833e-05
,630.192,0.00344684
,691.852,2.89313e-05
,696.378,6.96786e-06
,713.75,-0.0209472
,732.279,0.0436061
,812.364,5.46611e-05
,973.656,0.0179996
1108051,25.3696,0.00100519
,27.7137,0.00233304
,80.9519,-0.0672861
,134.152,-0.00188728
,171.94,1.17283e-05
,271.693,5.89073e-06
,310.81,1.26304e-06
,338.264,-0.0288818
,386.474,0.00281589
,439.773,3.64727e-05
,470.661,-5.02516e-05
,527.275,0.00444797
,533.235,0.00494816
,611.388,-2.26567e-05
,630.192,0.0029615
,691.852,3.20448e-05
,696.378,6.78339e-06
,713.75,-0.0163156
,732.279,0.0434917
,812.364,5.74079e-05
,973.656,0.0164083
1110405,25.3696,0.000986289
,27.7137,0.00230403
,80.9519,-0.0889211
,134.152,-0.00180234
,171.94,1.11682e-05
,271.693,6.83288e-06
,310.81,1.84438e-06
,338.264,-0.0371706
,386.474,0.00440604
,439.773,3.33882e-05
,470.661,-4.46355e-05
,527.275,0.00696899
,533.235,0.00694559
,611.388,-2.13415e-05
,630.192,0.00393047
,691.852,2.58928e-05
,696.378,7.15848e-06
,713.75,-0.0255431
,732.279,0.0437778
,812.364,5.19971e-05
,973.656,0.0195834
1146841,25.3696,0.000991011
,27.7137,0.00231128
,80.9519,-0.0835124
,134.152,-0.00182394
,171.94,1.13027e-05
,271.693,6.6019e-06
,310.81,1.69781e-06
,338.264,-0.0350983
,386.474,0.00400985
,439.773,3.41407e-05
,470.661,-4.59902e-05
,527.275,0.00634081
,533.235,0.00644699
,611.388,-2.16639e-05
,630.192,0.00368883
,691.852,2.74076e-05
,696.378,7.06291e-06
,713.75,-0.0232486
,732.279,0.0436863
,812.364,5.3326e-05
,973.656,0.0187924
1146843,25.3696,0.00100046
,27.7137,0.00232579
,80.9519,-0.0726948
,134.152,-0.00186612
,171.94,1.15808e-05
,271.693,6.13032e-06
,310.81,1.40721e-06
,338.264,-0.0309538
,386.474,0.00321496
,439.773,3.56796e-05
,470.661,-4.87935e-05
,527.275,0.00508069
,533.235,0.0054485
,611.388,-2.23218e-05
,630.192,0.00320442
,691.852,3.04806e-05
,696.378,6.87514e-06
,713.75,-0.0186366
,732.279,0.0435406
,812.364,5.6026e-05
,973.656,0.017205
