Loadcase/Frequency
Loadcase,Eigen Mode-Z
1110403,25.3696,-0.00400622
,27.7137,0.00251223
,80.9519,-7.59435e-05
,134.152,-0.00102136
,171.94,-2.76466
,271.693,2.38023
,310.81,-0.400277
,338.264,0.000314185
,386.474,-0.000451801
,439.773,1.85506
,470.661,-0.337418
,527.275,-6.23324e-05
,533.235,-3.70972e-05
,611.388,-1.25352
,630.192,8.68803e-05
,691.852,0.632997
,696.378,0.074683
,713.75,-0.000435131
,732.279,-0.000485588
,812.364,0.763888
,973.656,9.8078e-07
1108051,25.3696,-0.00400736
,27.7137,0.00251087
,80.9519,-7.65238e-05
,134.152,-0.00149576
,171.94,-2.77999
,271.693,2.40212
,310.81,-0.403715
,338.264,0.000316425
,386.474,-0.000453547
,439.773,1.86676
,470.661,-0.333784
,527.275,-6.16216e-05
,533.235,-3.71803e-05
,611.388,-1.26816
,630.192,8.88819e-05
,691.852,0.637979
,696.378,0.0752573
,713.75,-0.000455575
,732.279,-0.000511284
,812.364,0.766126
,973.656,5.61009e-06
1110405,25.3696,-0.00400524
,27.7137,0.0025135
,80.9519,-7.53515e-05
,134.152,-0.00058913
,171.94,-2.74933
,271.693,2.35833
,310.81,-0.39684
,338.264,0.000311874
,386.474,-0.000449764
,439.773,1.84335
,470.661,-0.341053
,527.275,-6.27154e-05
,533.235,-3.69989e-05
,611.388,-1.23887
,630.192,8.50297e-05
,691.852,0.628014
,696.378,0.0741084
,713.75,-0.000417543
,732.279,-0.000464305
,812.364,0.761648
,973.656,-2.80103e-06
1146841,25.3696,-0.00400572
,27.7137,0.00251287
,80.9519,-7.56481e-05
,134.152,-0.000803137
,171.94,-2.757
,271.693,2.36928
,310.81,-0.398559
,338.264,0.000313034
,386.474,-0.00045079
,439.773,1.8492
,470.661,-0.339236
,527.275,-6.25261e-05
,533.235,-3.70403e-05
,611.388,-1.2462
,630.192,8.59502e-05
,691.852,0.630506
,696.378,0.0743957
,713.75,-0.000426255
,732.279,-0.000474821
,812.364,0.762768
,973.656,-9.47756e-07
1146843,25.3696,-0.00400673
,27.7137,0.00251158
,80.9519,-7.62373e-05
,134.152,-0.00124497
,171.94,-2.77232
,271.693,2.39117
,310.81,-0.401996
,338.264,0.000315334
,386.474,-0.000452727
,439.773,1.86091
,470.661,-0.335601
,527.275,-6.20145e-05
,533.235,-3.71144e-05
,611.388,-1.26084
,630.192,8.78502e-05
,691.852,0.635488
,696.378,0.0749702
,713.75,-0.000444807
,732.279,-0.000497616
,812.364,0.765007
,973.656,3.09307e-06
