Loadcase/Frequency
Loadcase,Eigen Mode-Z
1105902,25.3696,-0.00385197
,27.7137,0.00238931
,80.9519,-7.67281e-05
,134.152,-0.00755668
,171.94,-2.82854
,271.693,2.38971
,310.81,-0.403684
,338.264,0.000303806
,386.474,-0.000423833
,439.773,1.80341
,470.661,-0.239282
,527.275,-4.73512e-05
,533.235,-3.84333e-05
,611.388,-1.25459
,630.192,9.68435e-05
,691.852,0.621409
,696.378,0.0732612
,713.75,-0.000602054
,732.279,-0.000717543
,812.364,0.737505
,973.656,5.76979e-05
1108051,25.3696,-0.00400736
,27.7137,0.00251087
,80.9519,-7.65238e-05
,134.152,-0.00149576
,171.94,-2.77999
,271.693,2.40212
,310.81,-0.403715
,338.264,0.000316425
,386.474,-0.000453547
,439.773,1.86676
,470.661,-0.333784
,527.275,-6.16216e-05
,533.235,-3.71803e-05
,611.388,-1.26816
,630.192,8.88819e-05
,691.852,0.637979
,696.378,0.0752573
,713.75,-0.000455575
,732.279,-0.000511284
,812.364,0.766126
,973.656,5.61009e-06
1165215,25.3696,-0.00389076
,27.7137,0.00241973
,80.9519,-7.66809e-05
,134.152,-0.00602669
,171.94,-2.8164
,271.693,2.39281
,310.81,-0.403692
,338.264,0.000306979
,386.474,-0.000431366
,439.773,1.81924
,470.661,-0.262908
,527.275,-5.10732e-05
,533.235,-3.81723e-05
,611.388,-1.25798
,630.192,9.48026e-05
,691.852,0.625552
,696.378,0.0737602
,713.75,-0.00056444
,732.279,-0.00066448
,812.364,0.74466
,973.656,4.44572e-05
1165222,25.3696,-0.00396856
,27.7137,0.00248046
,80.9519,-7.65719e-05
,134.152,-0.00302243
,171.94,-2.79213
,271.693,2.39902
,310.81,-0.403707
,338.264,0.000313244
,386.474,-0.000446096
,439.773,1.85092
,470.661,-0.310158
,527.275,-5.80534e-05
,533.235,-3.75225e-05
,611.388,-1.26477
,630.192,9.08882e-05
,691.852,0.633837
,696.378,0.0747583
,713.75,-0.000492447
,732.279,-0.000563197
,812.364,0.758971
,973.656,1.87487e-05
1108049,25.3696,-0.00392966
,27.7137,0.0024501
,80.9519,-7.66268e-05
,134.152,-0.00452317
,171.94,-2.80426
,271.693,2.39592
,310.81,-0.4037
,338.264,0.000310113
,386.474,-0.000438742
,439.773,1.83508
,470.661,-0.286533
,527.275,-5.45788e-05
,533.235,-3.78514e-05
,611.388,-1.26137
,630.192,9.28399e-05
,691.852,0.629694
,696.378,0.0742593
,713.75,-0.000528335
,732.279,-0.000613672
,812.364,0.751815
,973.656,3.15756e-05
