Loadcase/Frequency
Loadcase,Eigen Mode-X
1108055,25.3696,0.00341878
,27.7137,-0.000734524
,80.9519,0.14738
,134.152,-0.000168182
,171.94,-0.0153431
,271.693,0.0219844
,310.81,-0.0034571
,338.264,0.576806
,386.474,0.155644
,439.773,0.0116507
,470.661,0.00358574
,527.275,0.894387
,533.235,0.986997
,611.388,-0.0149214
,630.192,-0.0413486
,691.852,0.0050966
,696.378,0.000604028
,713.75,0.00760288
,732.279,0.102443
,812.364,0.00232666
,973.656,-0.484071
1165217,25.3696,0.00341939
,27.7137,-0.000733827
,80.9519,0.14738
,134.152,7.75314e-05
,171.94,-0.00768019
,271.693,0.0110374
,310.81,-0.00173854
,338.264,0.576805
,386.474,0.155645
,439.773,0.00579867
,470.661,0.00176859
,527.275,0.894387
,533.235,0.986997
,611.388,-0.00759978
,630.192,-0.0413495
,691.852,0.00260623
,696.378,0.000316892
,713.75,0.00761089
,732.279,0.102452
,812.364,0.00120829
,973.656,-0.484073
1108049,25.3696,0.00341999
,27.7137,-0.000733131
,80.9519,0.147381
,134.152,0.000322349
,171.94,-1.72744e-05
,271.693,9.03683e-05
,310.81,-1.99944e-05
,338.264,0.576804
,386.474,0.155646
,439.773,-5.33067e-05
,470.661,-4.8544e-05
,527.275,0.894387
,533.235,0.986997
,611.388,-0.000278205
,630.192,-0.0413504
,691.852,0.000115885
,696.378,2.97587e-05
,713.75,0.00762017
,732.279,0.102463
,812.364,8.99588e-05
,973.656,-0.484075
1165225,25.3696,0.00342059
,27.7137,-0.000732439
,80.9519,0.147381
,134.152,0.00056612
,171.94,0.00764565
,271.693,-0.0108567
,310.81,0.00169856
,338.264,0.576802
,386.474,0.155647
,439.773,-0.00590529
,470.661,-0.00186568
,527.275,0.894386
,533.235,0.986997
,611.388,0.00704338
,630.192,-0.0413514
,691.852,-0.00237447
,696.378,-0.000257376
,713.75,0.00763045
,732.279,0.102476
,812.364,-0.00102838
,973.656,-0.484077
1108050,25.3696,0.00342119
,27.7137,-0.000731745
,80.9519,0.147381
,134.152,0.000810481
,171.94,0.0153086
,271.693,-0.0218037
,310.81,0.00341711
,338.264,0.576801
,386.474,0.155648
,439.773,-0.0117573
,470.661,-0.00368282
,527.275,0.894386
,533.235,0.986998
,611.388,0.014365
,630.192,-0.0413525
,691.852,-0.00486481
,696.378,-0.000544509
,713.75,0.00764195
,732.279,0.102491
,812.364,-0.0021467
,973.656,-0.48408
