Loadcase/Frequency
Loadcase,Eigen Mode-Y
1108055,25.3696,0.00108253
,27.7137,0.00227208
,80.9519,-0.0672861
,134.152,-0.00500337
,171.94,-0.0242645
,271.693,-0.00619943
,310.81,1.62511e-05
,338.264,-0.0288874
,386.474,0.00283588
,439.773,-0.0316405
,470.661,0.0472016
,527.275,0.00446425
,533.235,0.00495201
,611.388,0.0067667
,630.192,0.00296767
,691.852,-0.00825277
,696.378,-0.00099128
,713.75,-0.0164354
,732.279,0.0433154
,812.364,-0.0142522
,973.656,0.0164419
1165217,25.3696,0.00104384
,27.7137,0.00230255
,80.9519,-0.0672861
,134.152,-0.00344985
,171.94,-0.0121264
,271.693,-0.00309676
,310.81,8.75498e-06
,338.264,-0.028885
,386.474,0.00282302
,439.773,-0.015802
,470.661,0.0235756
,527.275,0.00445176
,533.235,0.00494852
,611.388,0.00337201
,630.192,0.00296332
,691.852,-0.00411031
,696.378,-0.000492244
,713.75,-0.0163492
,732.279,0.0434463
,812.364,-0.0070973
,973.656,0.0164193
1108049,25.3696,0.00100518
,27.7137,0.00233303
,80.9519,-0.0672861
,134.152,-0.00189017
,171.94,1.17468e-05
,271.693,5.90246e-06
,310.81,1.26086e-06
,338.264,-0.028882
,386.474,0.00281363
,439.773,3.65234e-05
,470.661,-5.03096e-05
,527.275,0.004445
,533.235,0.00494751
,611.388,-2.26791e-05
,630.192,0.00296046
,691.852,3.20939e-05
,696.378,6.78767e-06
,713.75,-0.0162945
,732.279,0.0435266
,812.364,5.74823e-05
,973.656,0.0164027
1165225,25.3696,0.000966525
,27.7137,0.00236352
,80.9519,-0.067286
,134.152,-0.000327197
,171.94,0.0121498
,271.693,0.00310854
,310.81,-6.23009e-06
,338.264,-0.0288785
,386.474,0.00280788
,439.773,0.0158749
,470.661,-0.0236761
,527.275,0.0044444
,533.235,0.00494926
,611.388,-0.00341733
,630.192,0.00295916
,691.852,0.00417442
,696.378,0.000505812
,713.75,-0.016273
,732.279,0.0435538
,812.364,0.00721214
,973.656,0.0163922
1108050,25.3696,0.000927863
,27.7137,0.00239401
,80.9519,-0.067286
,134.152,0.00123448
,171.94,0.0242879
,271.693,0.0062112
,310.81,-1.37255e-05
,338.264,-0.0288744
,386.474,0.00280569
,439.773,0.0317133
,470.661,-0.0473018
,527.275,0.00444973
,533.235,0.00495358
,611.388,-0.00681197
,630.192,0.00295941
,691.852,0.00831668
,696.378,0.00100483
,713.75,-0.0162839
,732.279,0.0435288
,812.364,0.0143667
,973.656,0.0163878
