Loadcase/Frequency
Loadcase,Eigen Mode-X
1105902,25.3696,0.00341056
,27.7137,-0.000747625
,80.9519,0.136563
,134.152,0.000368772
,171.94,-1.75884e-05
,271.693,9.08304e-05
,310.81,-1.97025e-05
,338.264,0.57266
,386.474,0.156446
,439.773,-5.49312e-05
,470.661,-4.56098e-05
,527.275,0.895654
,533.235,0.987999
,611.388,-0.000277521
,630.192,-0.0408639
,691.852,0.000112723
,696.378,2.99393e-05
,713.75,0.00296348
,732.279,0.102537
,812.364,8.71352e-05
,973.656,-0.482478
1108051,25.3696,0.00342944
,27.7137,-0.000718635
,80.9519,0.158198
,134.152,0.000277385
,171.94,-1.69638e-05
,271.693,8.98958e-05
,310.81,-2.0284e-05
,338.264,0.580947
,386.474,0.154847
,439.773,-5.16984e-05
,470.661,-5.14824e-05
,527.275,0.893119
,533.235,0.985996
,611.388,-0.000278875
,630.192,-0.0418368
,691.852,0.000119032
,696.378,2.95766e-05
,713.75,0.0122727
,732.279,0.102383
,812.364,9.27578e-05
,973.656,-0.48567
1165215,25.3696,0.00341527
,27.7137,-0.000740379
,80.9519,0.141972
,134.152,0.000345184
,171.94,-1.74313e-05
,271.693,9.06035e-05
,310.81,-1.98494e-05
,338.264,0.574732
,386.474,0.156046
,439.773,-5.41124e-05
,470.661,-4.70756e-05
,527.275,0.89502
,533.235,0.987498
,611.388,-0.00027787
,630.192,-0.0411072
,691.852,0.000114309
,696.378,2.98496e-05
,713.75,0.00529239
,732.279,0.102501
,812.364,8.85569e-05
,973.656,-0.483276
1165222,25.3696,0.00342472
,27.7137,-0.000725883
,80.9519,0.152789
,134.152,0.000300055
,171.94,-1.71186e-05
,271.693,9.01289e-05
,310.81,-2.01385e-05
,338.264,0.578876
,386.474,0.155247
,439.773,-5.25078e-05
,470.661,-5.00138e-05
,527.275,0.893753
,533.235,0.986497
,611.388,-0.000278534
,630.192,-0.0415936
,691.852,0.000117454
,696.378,2.96672e-05
,713.75,0.00994664
,732.279,0.102423
,812.364,9.13503e-05
,973.656,-0.484873
1108049,25.3696,0.00341999
,27.7137,-0.000733131
,80.9519,0.147381
,134.152,0.000322349
,171.94,-1.72744e-05
,271.693,9.03683e-05
,310.81,-1.99944e-05
,338.264,0.576804
,386.474,0.155646
,439.773,-5.33067e-05
,470.661,-4.8544e-05
,527.275,0.894387
,533.235,0.986997
,611.388,-0.000278205
,630.192,-0.0413504
,691.852,0.000115885
,696.378,2.97587e-05
,713.75,0.00762017
,732.279,0.102463
,812.364,8.99588e-05
,973.656,-0.484075
