Loadcase/Frequency
Loadcase,Eigen Mode-Y
1175699,25.3696,20.5365
,27.7137,47.1572
,80.9519,-1.84597
,134.152,-13.356
,171.94,0.0793615
,271.693,0.0164396
,310.81,-0.000958643
,338.264,-0.70408
,386.474,0.131942
,439.773,0.0425401
,470.661,-0.0571243
,527.275,0.208248
,533.235,0.172088
,611.388,-0.00683327
,630.192,0.0798983
,691.852,0.00948077
,696.378,0.00123689
,713.75,-0.708647
,732.279,0.185165
,812.364,0.0192263
,973.656,0.285991
1175762,25.3696,8.60486
,27.7137,19.761
,80.9519,-1.75624
,134.152,-5.78441
,171.94,0.034325
,271.693,0.00727314
,310.81,-0.00042537
,338.264,-0.676878
,386.474,0.121034
,439.773,0.0181279
,470.661,-0.0238081
,527.275,0.184092
,533.235,0.149619
,611.388,-0.00208683
,630.192,0.0762166
,691.852,0.00362563
,696.378,0.000525743
,713.75,-0.668631
,732.279,0.183197
,812.364,0.00864839
,973.656,0.278297
1175742,25.3696,-15.2584
,27.7137,-35.0314
,80.9519,-1.57678
,134.152,9.36048
,171.94,-0.055764
,271.693,-0.0110676
,310.81,0.000641734
,338.264,-0.622464
,386.474,0.0992148
,439.773,-0.0307542
,470.661,0.0429156
,527.275,0.135796
,533.235,0.104706
,611.388,0.00742695
,630.192,0.0688489
,691.852,-0.00811928
,696.378,-0.000900779
,713.75,-0.588549
,732.279,0.179337
,812.364,-0.012593
,973.656,0.262856
1175723,25.3696,-3.32675
,27.7137,-7.63521
,80.9519,-1.66651
,134.152,1.78798
,171.94,-0.010719
,271.693,-0.00189701
,310.81,0.000108166
,338.264,-0.649671
,386.474,0.110125
,439.773,-0.00631142
,470.661,0.00955095
,527.275,0.159944
,533.235,0.127162
,611.388,0.00266948
,630.192,0.0725329
,691.852,-0.00224579
,696.378,-0.000187391
,713.75,-0.628592
,732.279,0.181265
,812.364,-0.00196967
,973.656,0.270578
1175719,25.3696,-27.19
,27.7137,-62.4276
,80.9519,-1.48706
,134.152,16.9333
,171.94,-0.100812
,271.693,-0.0202399
,310.81,0.00117543
,338.264,-0.595254
,386.474,0.0883048
,439.773,-0.0552091
,470.661,0.0762993
,527.275,0.111656
,533.235,0.0822593
,611.388,0.0121894
,630.192,0.0651638
,691.852,-0.0140002
,696.378,-0.00161507
,713.75,-0.548496
,732.279,0.177426
,812.364,-0.0232338
,973.656,0.255116
