Loadcase/Frequency
Loadcase,Eigen Mode-Z
1175699,25.3696,68.7427
,27.7137,-15.1091
,80.9519,-0.123672
,134.152,68.5987
,171.94,-1.42029
,271.693,-1.08405
,310.81,0.113298
,338.264,0.385315
,386.474,0.102639
,439.773,-0.784035
,470.661,0.474991
,527.275,0.673075
,533.235,0.755759
,611.388,1.11572
,630.192,-0.0293057
,691.852,-0.334134
,696.378,-0.0379351
,713.75,0.0306109
,732.279,0.233404
,812.364,0.0663209
,973.656,-0.339844
1175762,25.3696,72.0571
,27.7137,-24.4701
,80.9519,-0.0987875
,134.152,39.4246
,171.94,-1.20139
,271.693,-1.00454
,310.81,0.106467
,338.264,0.373801
,386.474,0.111226
,439.773,-0.665161
,470.661,0.338609
,527.275,0.670516
,533.235,0.746658
,611.388,1.04969
,630.192,-0.0270229
,691.852,-0.298968
,696.378,-0.033797
,713.75,0.00302128
,732.279,0.192742
,812.364,0.0996076
,973.656,-0.332092
1175742,25.3696,78.6858
,27.7137,-43.1923
,80.9519,-0.0490176
,134.152,-18.9276
,171.94,-0.76356
,271.693,-0.845519
,310.81,0.0928038
,338.264,0.350763
,386.474,0.128411
,439.773,-0.427277
,470.661,0.065629
,527.275,0.665399
,533.235,0.728443
,611.388,0.917574
,630.192,-0.0224502
,691.852,-0.228557
,696.378,-0.0255109
,713.75,-0.0522714
,732.279,0.111256
,812.364,0.166387
,973.656,-0.316538
1175723,25.3696,75.3714
,27.7137,-33.8312
,80.9519,-0.0739026
,134.152,10.2486
,171.94,-0.982477
,271.693,-0.925032
,310.81,0.0996355
,338.264,0.362282
,386.474,0.119818
,439.773,-0.546224
,470.661,0.202127
,527.275,0.667958
,533.235,0.737551
,611.388,0.983633
,630.192,-0.0247369
,691.852,-0.263766
,696.378,-0.0296543
,713.75,-0.0246208
,732.279,0.152005
,812.364,0.13299
,973.656,-0.324317
1175719,25.3696,82.0001
,27.7137,-52.5534
,80.9519,-0.0241322
,134.152,-48.1054
,171.94,-0.544629
,271.693,-0.765999
,310.81,0.0859716
,338.264,0.33924
,386.474,0.137008
,439.773,-0.308277
,470.661,-0.0709549
,527.275,0.662843
,533.235,0.719332
,611.388,0.851499
,630.192,-0.0201609
,691.852,-0.193317
,696.378,-0.0213636
,713.75,-0.0799669
,732.279,0.0704436
,812.364,0.199866
,973.656,-0.308741
