Loadcase/Frequency
Loadcase,Eigen Mode-X
1175708,25.3696,-44.2328
,27.7137,13.6619
,80.9519,-0.0263904
,134.152,-10.2932
,171.94,0.0264544
,271.693,-0.0310542
,310.81,0.00418698
,338.264,0.276954
,386.474,0.098644
,439.773,0.024442
,470.661,-0.060609
,527.275,0.519945
,533.235,0.569778
,611.388,0.048116
,630.192,-0.0178371
,691.852,-0.00283181
,696.378,-0.000194714
,713.75,-0.0401169
,732.279,0.0837072
,812.364,0.0351775
,973.656,-0.248426
1175716,25.3696,-20.3695
,27.7137,68.4542
,80.9519,-0.205846
,134.152,-25.4377
,171.94,0.11654
,271.693,-0.0127149
,310.81,0.00311996
,338.264,0.222539
,386.474,0.120462
,439.773,0.0733116
,470.661,-0.127313
,527.275,0.568234
,533.235,0.614684
,611.388,0.0386051
,630.192,-0.0104696
,691.852,0.00890598
,696.378,0.00123093
,713.75,-0.120189
,732.279,0.0875803
,812.364,0.0563991
,973.656,-0.232978
1175821,25.3696,-32.3011
,27.7137,41.0581
,80.9519,-0.116118
,134.152,-17.8654
,171.94,0.0714972
,271.693,-0.0218845
,310.81,0.00365347
,338.264,0.249747
,386.474,0.109553
,439.773,0.0488768
,470.661,-0.0939609
,527.275,0.54409
,533.235,0.592231
,611.388,0.0433606
,630.192,-0.0141534
,691.852,0.0030371
,696.378,0.000518112
,713.75,-0.0801529
,732.279,0.0856439
,812.364,0.0457884
,973.656,-0.240703
1175709,25.3696,-68.096
,27.7137,-41.1305
,80.9519,0.153065
,134.152,4.85134
,171.94,-0.0636309
,271.693,-0.0493933
,310.81,0.00525398
,338.264,0.331367
,386.474,0.0768262
,439.773,-0.0244266
,470.661,0.00609302
,527.275,0.471651
,533.235,0.524866
,611.388,0.0576259
,630.192,-0.0252043
,691.852,-0.0145688
,696.378,-0.00162027
,713.75,0.0399544
,732.279,0.0798313
,812.364,0.0139569
,973.656,-0.263867
1175817,25.3696,-80.0276
,27.7137,-68.5267
,80.9519,0.242793
,134.152,12.4237
,171.94,-0.108675
,271.693,-0.0585633
,310.81,0.00578751
,338.264,0.358574
,386.474,0.0659169
,439.773,-0.0488647
,470.661,0.03945
,527.275,0.447505
,533.235,0.502411
,611.388,0.0623821
,630.192,-0.0288881
,691.852,-0.0204396
,696.378,-0.00233331
,713.75,0.0799933
,732.279,0.0778977
,812.364,0.00334099
,973.656,-0.271589
