Loadcase/Frequency
Loadcase,Eigen Mode-Z
1175708,25.3696,12.0623
,27.7137,-22.7232
,80.9519,0.0507153
,134.152,-65.4355
,171.94,-0.541248
,271.693,-0.829503
,310.81,0.0936164
,338.264,-0.00518826
,386.474,0.0258591
,439.773,-0.32124
,470.661,-0.101757
,527.275,0.0324443
,533.235,0.022503
,611.388,0.917364
,630.192,0.00319407
,691.852,-0.204769
,696.378,-0.0226117
,713.75,-0.0551971
,732.279,-0.0705918
,812.364,0.217242
,973.656,-0.00405576
1175716,25.3696,-22.9067
,27.7137,-7.80812
,80.9519,0.088139
,134.152,-74.1006
,171.94,-0.539557
,271.693,-0.861255
,310.81,0.0974387
,338.264,-0.177403
,386.474,-0.0297154
,439.773,-0.327718
,470.661,-0.117162
,527.275,-0.282757
,533.235,-0.325913
,611.388,0.950292
,630.192,0.0148719
,691.852,-0.210493
,696.378,-0.0232355
,713.75,-0.042815
,732.279,-0.141113
,812.364,0.225933
,973.656,0.148292
1175821,25.3696,-5.4222
,27.7137,-15.2657
,80.9519,0.0694271
,134.152,-69.7681
,171.94,-0.540403
,271.693,-0.845379
,310.81,0.0955275
,338.264,-0.0912958
,386.474,-0.00192815
,439.773,-0.324478
,470.661,-0.10946
,527.275,-0.125156
,533.235,-0.151705
,611.388,0.933828
,630.192,0.00903297
,691.852,-0.207631
,696.378,-0.0229236
,713.75,-0.0490063
,732.279,-0.105853
,812.364,0.221588
,973.656,0.0721179
1175709,25.3696,47.0312
,27.7137,-37.6383
,80.9519,0.0132914
,134.152,-56.77
,171.94,-0.542943
,271.693,-0.797754
,310.81,0.0897942
,338.264,0.167027
,386.474,0.0814324
,439.773,-0.314775
,470.661,-0.0863302
,527.275,0.347644
,533.235,0.370919
,611.388,0.884438
,630.192,-0.00848429
,691.852,-0.199053
,696.378,-0.0219889
,713.75,-0.0675685
,732.279,-5.48364e-05
,812.364,0.20853
,973.656,-0.156405
1175817,25.3696,64.5157
,27.7137,-45.0959
,80.9519,-0.00542049
,134.152,-52.4374
,171.94,-0.543789
,271.693,-0.781878
,310.81,0.087883
,338.264,0.253135
,386.474,0.109219
,439.773,-0.311536
,470.661,-0.0786253
,527.275,0.505243
,533.235,0.545126
,611.388,0.867972
,630.192,-0.0143231
,691.852,-0.196192
,696.378,-0.021677
,713.75,-0.0737587
,732.279,0.0352073
,812.364,0.204182
,973.656,-0.232577
