Loadcase/Frequency
Loadcase,Eigen Mode-X
1175819,25.3696,-47.5471
,27.7137,23.023
,80.9519,-0.0512755
,134.152,18.8834
,171.94,-0.192466
,271.693,-0.110569
,310.81,0.0110188
,338.264,0.288473
,386.474,0.0900501
,439.773,-0.094516
,470.661,0.075907
,527.275,0.5225
,533.235,0.578884
,611.388,0.114178
,630.192,-0.0201241
,691.852,-0.0380468
,696.378,-0.0043389
,713.75,-0.0124571
,732.279,0.124469
,812.364,0.0017629
,973.656,-0.256205
1175708,25.3696,-44.2328
,27.7137,13.6619
,80.9519,-0.0263904
,134.152,-10.2932
,171.94,0.0264544
,271.693,-0.0310542
,310.81,0.00418698
,338.264,0.276954
,386.474,0.098644
,439.773,0.024442
,470.661,-0.060609
,527.275,0.519945
,533.235,0.569778
,611.388,0.048116
,630.192,-0.0178371
,691.852,-0.00283181
,696.378,-0.000194714
,713.75,-0.0401169
,732.279,0.0837072
,812.364,0.0351775
,973.656,-0.248426
1175827,25.3696,-40.9184
,27.7137,4.30078
,80.9519,-0.00150535
,134.152,-39.4697
,171.94,0.245375
,271.693,0.0484605
,310.81,-0.00264481
,338.264,0.265434
,386.474,0.107238
,439.773,0.143401
,470.661,-0.197126
,527.275,0.517388
,533.235,0.56067
,611.388,-0.017946
,630.192,-0.01555
,691.852,0.0323837
,696.378,0.00394955
,713.75,-0.0677773
,732.279,0.0429441
,812.364,0.0685933
,973.656,-0.240645
1175703,25.3696,-37.6041
,27.7137,-5.06031
,80.9519,0.0233798
,134.152,-68.6464
,171.94,0.464295
,271.693,0.127976
,310.81,-0.00947662
,338.264,0.253914
,386.474,0.115832
,439.773,0.262362
,470.661,-0.333648
,527.275,0.514831
,533.235,0.551562
,611.388,-0.0840088
,630.192,-0.0132627
,691.852,0.0676008
,696.378,0.00809399
,713.75,-0.0954397
,732.279,0.00217767
,812.364,0.102013
,973.656,-0.232863
1175711,25.3696,-50.8614
,27.7137,32.384
,80.9519,-0.0761606
,134.152,48.0599
,171.94,-0.411385
,271.693,-0.190083
,310.81,0.0178505
,338.264,0.299992
,386.474,0.0814562
,439.773,-0.213473
,470.661,0.212421
,527.275,0.525055
,533.235,0.587989
,611.388,0.180239
,630.192,-0.0224111
,691.852,-0.073261
,696.378,-0.008483
,713.75,0.0152017
,732.279,0.165229
,812.364,-0.0316499
,973.656,-0.263982
