Loadcase/Frequency
Loadcase,Eigen Mode-Y
1175819,25.3696,-9.70548
,27.7137,-69.8851
,80.9519,-1.50577
,134.152,21.2675
,171.94,-0.101672
,271.693,-0.0043701
,310.81,-0.000735416
,338.264,-0.509149
,386.474,0.116085
,439.773,-0.0520237
,470.661,0.0840902
,527.275,0.26923
,533.235,0.256443
,611.388,-0.00426487
,630.192,0.0593237
,691.852,-0.0111687
,696.378,-0.00130693
,713.75,-0.554642
,732.279,0.212744
,812.364,-0.0276663
,973.656,0.178969
1175708,25.3696,-27.19
,27.7137,-62.4276
,80.9519,-1.48706
,134.152,16.9325
,171.94,-0.100804
,271.693,-0.0202357
,310.81,0.0011751
,338.264,-0.595262
,386.474,0.0883051
,439.773,-0.0551797
,470.661,0.0762533
,527.275,0.111634
,533.235,0.0822321
,611.388,0.0121768
,630.192,0.0651668
,691.852,-0.0139821
,696.378,-0.00161287
,713.75,-0.548521
,732.279,0.177384
,812.364,-0.0231918
,973.656,0.255166
1175827,25.3696,-44.6744
,27.7137,-54.97
,80.9519,-1.46834
,134.152,12.5974
,171.94,-0.0999351
,271.693,-0.036101
,310.81,0.0030856
,338.264,-0.681375
,386.474,0.0605251
,439.773,-0.0583332
,470.661,0.0684124
,527.275,-0.0459607
,533.235,-0.0919786
,611.388,0.0286178
,630.192,0.0710098
,691.852,-0.0167941
,696.378,-0.00191863
,713.75,-0.542402
,732.279,0.142021
,812.364,-0.0187134
,973.656,0.331363
1175703,25.3696,-62.1589
,27.7137,-47.5125
,80.9519,-1.44963
,134.152,8.26242
,171.94,-0.0990664
,271.693,-0.0519663
,310.81,0.00499611
,338.264,-0.767487
,386.474,0.0327451
,439.773,-0.0614879
,470.661,0.0605734
,527.275,-0.203555
,533.235,-0.266189
,611.388,0.045059
,630.192,0.0768528
,691.852,-0.0196067
,696.378,-0.00222447
,713.75,-0.536281
,732.279,0.106659
,812.364,-0.0142369
,973.656,0.407559
1175711,25.3696,7.77899
,27.7137,-77.3427
,80.9519,-1.52448
,134.152,25.6024
,171.94,-0.10254
,271.693,0.0114958
,310.81,-0.00264596
,338.264,-0.423037
,386.474,0.143866
,439.773,-0.0488651
,470.661,0.0919229
,527.275,0.426825
,533.235,0.430654
,611.388,-0.0207073
,630.192,0.0534808
,691.852,-0.00835377
,696.378,-0.0010008
,713.75,-0.560765
,732.279,0.248101
,812.364,-0.0321369
,973.656,0.102772
