Loadcase/Frequency
Loadcase,Eigen Mode-Y
159496,25.3696,0.0025115
,27.7137,-0.00161872
,80.9519,-1.69201
,134.152,0.00134331
,171.94,-0.655028
,271.693,-0.200651
,310.81,0.0137761
,338.264,-0.629603
,386.474,0.0864112
,439.773,-0.763349
,470.661,0.832286
,527.275,0.12494
,533.235,0.120946
,611.388,-0.146637
,630.192,0.0550606
,691.852,-0.00417932
,696.378,-0.000758338
,713.75,-0.316058
,732.279,0.563734
,812.364,-0.0894785
,973.656,0.140056
157481,25.3696,0.00250371
,27.7137,-0.00161303
,80.9519,-1.68588
,134.152,0.00139893
,171.94,-0.644683
,271.693,-0.213215
,310.81,0.0173375
,338.264,-0.666934
,386.474,0.077139
,439.773,-0.793275
,470.661,0.81073
,527.275,0.11468
,533.235,0.111831
,611.388,-0.165404
,630.192,0.0501861
,691.852,0.00878929
,696.378,0.000796204
,713.75,-0.276702
,732.279,0.52981
,812.364,-0.0602698
,973.656,0.151218
157495,25.3696,0.00250891
,27.7137,-0.00161683
,80.9519,-1.68997
,134.152,0.00136187
,171.94,-0.651578
,271.693,-0.204839
,310.81,0.014963
,338.264,-0.642046
,386.474,0.0833202
,439.773,-0.773324
,470.661,0.825103
,527.275,0.12152
,533.235,0.117908
,611.388,-0.152894
,630.192,0.0534359
,691.852,0.000141735
,696.378,-0.000240387
,713.75,-0.302943
,732.279,0.552423
,812.364,-0.0797489
,973.656,0.14378
159512,25.3696,0.00250631
,27.7137,-0.00161493
,80.9519,-1.68793
,134.152,0.0013804
,171.94,-0.64813
,271.693,-0.209027
,310.81,0.0161502
,338.264,-0.65449
,386.474,0.0802296
,439.773,-0.783299
,470.661,0.817918
,527.275,0.1181
,533.235,0.11487
,611.388,-0.159149
,630.192,0.0518111
,691.852,0.00446454
,696.378,0.000277789
,713.75,-0.289825
,732.279,0.541114
,812.364,-0.0700117
,973.656,0.1475
157457,25.3696,0.0025141
,27.7137,-0.00162062
,80.9519,-1.69406
,134.152,0.00132475
,171.94,-0.658479
,271.693,-0.196463
,310.81,0.0125892
,338.264,-0.61716
,386.474,0.0895022
,439.773,-0.753376
,470.661,0.839466
,527.275,0.12836
,533.235,0.123984
,611.388,-0.140383
,630.192,0.0566851
,691.852,-0.00849728
,696.378,-0.00127591
,713.75,-0.329168
,732.279,0.575053
,812.364,-0.0992013
,973.656,0.136329
