Loadcase/Frequency
Loadcase,Eigen Mode-X
157479,25.3696,0.00323084
,27.7137,-0.0010596
,80.9519,-0.0810892
,134.152,-0.00106388
,171.94,-0.355925
,271.693,0.461251
,310.81,-0.11561
,338.264,0.452945
,386.474,0.156692
,439.773,0.310913
,470.661,0.133019
,527.275,0.845955
,533.235,0.932812
,611.388,-0.236937
,630.192,-0.0351557
,691.852,0.116842
,696.378,0.0138849
,713.75,0.0473298
,732.279,0.236118
,812.364,0.196404
,973.656,-0.36921
159502,25.3696,0.00323857
,27.7137,-0.00106527
,80.9519,-0.08722
,134.152,-0.00112058
,171.94,-0.36652
,271.693,0.474253
,310.81,-0.119274
,338.264,0.490392
,386.474,0.166017
,439.773,0.341437
,470.661,0.154979
,527.275,0.856718
,533.235,0.94249
,611.388,-0.219259
,630.192,-0.0303036
,691.852,0.104427
,696.378,0.0123958
,713.75,0.00788396
,732.279,0.270214
,812.364,0.167893
,973.656,-0.381214
157467,25.3696,0.00324115
,27.7137,-0.00106717
,80.9519,-0.0892636
,134.152,-0.00113946
,171.94,-0.370048
,271.693,0.478579
,310.81,-0.120493
,338.264,0.502872
,386.474,0.169124
,439.773,0.351599
,470.661,0.162293
,527.275,0.860298
,533.235,0.945708
,611.388,-0.213349
,630.192,-0.0286858
,691.852,0.10028
,696.378,0.0118984
,713.75,-0.00526406
,732.279,0.281578
,812.364,0.158379
,973.656,-0.385203
157495,25.3696,0.003236
,27.7137,-0.00106338
,80.9519,-0.0851765
,134.152,-0.00110169
,171.94,-0.362991
,271.693,0.469923
,310.81,-0.118053
,338.264,0.47791
,386.474,0.162909
,439.773,0.331269
,470.661,0.147662
,527.275,0.853134
,533.235,0.939268
,611.388,-0.225159
,630.192,-0.0319212
,691.852,0.108569
,696.378,0.0128927
,713.75,0.0210325
,732.279,0.25885
,812.364,0.177402
,973.656,-0.377219
159498,25.3696,0.00323342
,27.7137,-0.00106149
,80.9519,-0.0831328
,134.152,-0.00108279
,171.94,-0.359459
,271.693,0.465589
,310.81,-0.116832
,338.264,0.465428
,386.474,0.159801
,439.773,0.321094
,470.661,0.140342
,527.275,0.849546
,533.235,0.936042
,611.388,-0.231052
,630.192,-0.0335385
,691.852,0.112707
,696.378,0.013389
,713.75,0.0341811
,732.279,0.247485
,812.364,0.186905
,973.656,-0.373217
