Loadcase/Frequency
Loadcase,Eigen Mode-X
920353,25.3696,0.00287287
,27.7137,-0.000858771
,80.9519,0.005585
,134.152,0.000749893
,171.94,-3.45246e-05
,271.693,-8.36224e-05
,310.81,0.000559534
,338.264,-0.0505045
,386.474,-0.0208117
,439.773,-0.00023851
,470.661,-0.000223794
,527.275,-0.200815
,533.235,-0.227394
,611.388,0.000274171
,630.192,0.0205643
,691.852,-0.000218663
,696.378,-1.39553e-05
,713.75,-0.10651
,732.279,0.00777667
,812.364,-0.000403526
,973.656,0.0146526
920360,25.3696,0.00287234
,27.7137,-0.000858401
,80.9519,0.00558499
,134.152,0.000751042
,171.94,2.55592e-05
,271.693,6.06061e-05
,310.81,-0.000563893
,338.264,-0.0505045
,386.474,-0.0208118
,439.773,0.000275046
,470.661,0.000274349
,527.275,-0.200815
,533.235,-0.227393
,611.388,-0.000202581
,630.192,0.0205647
,691.852,0.000105102
,696.378,2.50734e-05
,713.75,-0.106511
,732.279,0.00777632
,812.364,0.000464349
,973.656,0.0146529
866440,25.3696,0.00287207
,27.7137,-0.000858216
,80.9519,0.00558498
,134.152,0.000751617
,171.94,5.55949e-05
,271.693,0.000132664
,310.81,-0.00112454
,338.264,-0.0505045
,386.474,-0.0208118
,439.773,0.000532112
,470.661,0.000523646
,527.275,-0.200815
,533.235,-0.227393
,611.388,-0.000441106
,630.192,0.0205647
,691.852,0.000267023
,696.378,4.46421e-05
,713.75,-0.10651
,732.279,0.00777608
,812.364,0.000898467
,973.656,0.014647
866444,25.3696,0.00287314
,27.7137,-0.000858956
,80.9519,0.00558501
,134.152,0.000749318
,171.94,-6.45516e-05
,271.693,-0.000155648
,310.81,0.00111991
,338.264,-0.0505045
,386.474,-0.0208115
,439.773,-0.000495662
,470.661,-0.00047314
,527.275,-0.200814
,533.235,-0.227393
,611.388,0.000512791
,630.192,0.0205639
,691.852,-0.000380449
,696.378,-3.36714e-05
,713.75,-0.106509
,732.279,0.00777678
,812.364,-0.000837701
,973.656,0.0146467
866438,25.3696,0.00287261
,27.7137,-0.000858586
,80.9519,0.00558499
,134.152,0.000750467
,171.94,-4.48359e-06
,271.693,-1.15127e-05
,310.81,-2.11648e-06
,338.264,-0.0505045
,386.474,-0.0208118
,439.773,1.82858e-05
,470.661,2.52906e-05
,527.275,-0.200815
,533.235,-0.227394
,611.388,3.5782e-05
,630.192,0.0205645
,691.852,-5.67883e-05
,696.378,5.57053e-06
,713.75,-0.106511
,732.279,0.00777652
,812.364,3.04233e-05
,973.656,0.0146548
