Loadcase/Frequency
Loadcase,Eigen Mode-Z
866446,25.3696,-0.000245534
,27.7137,0.000194894
,80.9519,2.80081e-07
,134.152,0.00139177
,171.94,0.173727
,271.693,0.14799
,310.81,0.0120326
,338.264,2.3546e-05
,386.474,-3.75599e-06
,439.773,-0.0171598
,470.661,0.0155175
,527.275,1.13852e-05
,533.235,-2.79427e-05
,611.388,-0.033674
,630.192,-5.02903e-05
,691.852,-0.285147
,696.378,0.321927
,713.75,0.000168322
,732.279,8.44166e-05
,812.364,0.104909
,973.656,1.1366e-05
866442,25.3696,-0.000244467
,27.7137,0.000194156
,80.9519,3.05633e-07
,134.152,0.00138962
,171.94,0.173621
,271.693,0.147868
,310.81,0.0109578
,338.264,2.33636e-05
,386.474,-3.16786e-06
,439.773,-0.0190909
,470.661,0.013806
,527.275,1.18764e-05
,533.235,-2.85285e-05
,611.388,-0.0322963
,630.192,-5.06006e-05
,691.852,-0.28604
,696.378,0.32182
,713.75,0.000169099
,732.279,8.5329e-05
,812.364,0.102641
,973.656,1.07813e-05
920358,25.3696,-0.000245267
,27.7137,0.00019471
,80.9519,2.87067e-07
,134.152,0.00139123
,171.94,0.173699
,271.693,0.147955
,310.81,0.0117641
,338.264,2.3496e-05
,386.474,-3.57895e-06
,439.773,-0.0176403
,470.661,0.0150875
,527.275,1.14403e-05
,533.235,-2.80396e-05
,611.388,-0.0333433
,630.192,-5.03505e-05
,691.852,-0.285407
,696.378,0.321936
,713.75,0.00016853
,732.279,8.46504e-05
,812.364,0.104345
,973.656,1.11243e-05
920352,25.3696,-0.000244734
,27.7137,0.00019434
,80.9519,3.00477e-07
,134.152,0.00139015
,171.94,0.173646
,271.693,0.147894
,310.81,0.0112253
,338.264,2.34055e-05
,386.474,-3.25455e-06
,439.773,-0.0186063
,470.661,0.0142315
,527.275,1.16885e-05
,533.235,-2.83229e-05
,611.388,-0.0326543
,630.192,-5.05345e-05
,691.852,-0.285853
,696.378,0.321883
,713.75,0.000168932
,732.279,8.51067e-05
,812.364,0.103211
,973.656,1.09464e-05
866438,25.3696,-0.000245001
,27.7137,0.000194525
,80.9519,2.94628e-07
,134.152,0.00139069
,171.94,0.173672
,271.693,0.147923
,310.81,0.0114946
,338.264,2.3447e-05
,386.474,-3.37551e-06
,439.773,-0.0181226
,470.661,0.0146588
,527.275,1.15325e-05
,533.235,-2.81621e-05
,611.388,-0.0330034
,630.192,-5.046e-05
,691.852,-0.285642
,696.378,0.321922
,713.75,0.000168738
,732.279,8.48808e-05
,812.364,0.103779
,973.656,1.09939e-05
