Loadcase/Frequency
Loadcase,Eigen Mode-Y
158200,25.3696,-0.00335755
,27.7137,0.00189855
,80.9519,-1.69198
,134.152,-0.00438466
,171.94,0.655087
,271.693,0.200768
,310.81,-0.0136936
,338.264,-0.629597
,386.474,0.0861806
,439.773,0.763403
,470.661,-0.832309
,527.275,0.125048
,533.235,0.120849
,611.388,0.146644
,630.192,0.0551039
,691.852,0.00424589
,696.378,0.000871023
,713.75,-0.31693
,732.279,0.562588
,812.364,0.0895193
,973.656,0.140417
158075,25.3696,-0.00335498
,27.7137,0.00189671
,80.9519,-1.69403
,134.152,-0.00437679
,171.94,0.658537
,271.693,0.196577
,310.81,-0.0125078
,338.264,-0.617156
,386.474,0.0892733
,439.773,0.753427
,470.661,-0.839489
,527.275,0.128463
,533.235,0.123887
,611.388,0.140389
,630.192,0.0567285
,691.852,0.00855829
,696.378,0.00139178
,713.75,-0.330043
,732.279,0.573899
,812.364,0.0992468
,973.656,0.136693
158083,25.3696,-0.00336011
,27.7137,0.0019004
,80.9519,-1.68994
,134.152,-0.00439253
,171.94,0.651638
,271.693,0.204959
,310.81,-0.0148794
,338.264,-0.642039
,386.474,0.0830882
,439.773,0.773379
,470.661,-0.825128
,527.275,0.121632
,533.235,0.117812
,611.388,0.152901
,630.192,0.053479
,691.852,-6.94237e-05
,696.378,0.000349909
,713.75,-0.303814
,732.279,0.551281
,812.364,0.0797853
,973.656,0.144137
158063,25.3696,-0.00336525
,27.7137,0.00190409
,80.9519,-1.68586
,134.152,-0.00440829
,171.94,0.644745
,271.693,0.213342
,310.81,-0.0172516
,338.264,-0.666923
,386.474,0.0769042
,439.773,0.793334
,470.661,-0.81076
,527.275,0.114802
,533.235,0.111736
,611.388,0.165413
,630.192,0.0502291
,691.852,-0.00870523
,696.378,-0.000692969
,713.75,-0.277572
,732.279,0.528681
,812.364,0.0602998
,973.656,0.151571
158204,25.3696,-0.00336268
,27.7137,0.00190224
,80.9519,-1.6879
,134.152,-0.00440041
,171.94,0.648191
,271.693,0.20915
,310.81,-0.0160653
,338.264,-0.654481
,386.474,0.0799961
,439.773,0.783355
,470.661,-0.817945
,527.275,0.118217
,533.235,0.114774
,611.388,0.159158
,630.192,0.0518541
,691.852,-0.00438687
,696.378,-0.00017147
,713.75,-0.290695
,732.279,0.53998
,812.364,0.0700448
,973.656,0.147854
