Loadcase/Frequency
Loadcase,Eigen Mode-X
158061,25.3696,0.00320345
,27.7137,-0.00103766
,80.9519,-0.0892274
,134.152,0.00158942
,171.94,0.370087
,271.693,-0.478534
,310.81,0.120493
,338.264,0.502767
,386.474,0.169292
,439.773,-0.351879
,470.661,-0.162495
,527.275,0.860398
,533.235,0.945828
,611.388,0.213176
,630.192,-0.0287273
,691.852,-0.100148
,696.378,-0.0118409
,713.75,-0.00500113
,732.279,0.281958
,812.364,-0.158459
,973.656,-0.385464
158194,25.3696,0.00319579
,27.7137,-0.00103214
,80.9519,-0.0830985
,134.152,0.00156546
,171.94,0.359501
,271.693,-0.465536
,310.81,0.116836
,338.264,0.465329
,386.474,0.159964
,439.773,-0.321374
,470.661,-0.140547
,527.275,0.84966
,533.235,0.936165
,611.388,0.230888
,630.192,-0.0335806
,691.852,-0.112562
,696.378,-0.0133414
,713.75,0.0344511
,732.279,0.247886
,812.364,-0.187002
,973.656,-0.373493
158083,25.3696,0.00319834
,27.7137,-0.00103398
,80.9519,-0.0851415
,134.152,0.00157345
,171.94,0.363032
,271.693,-0.469873
,310.81,0.118056
,338.264,0.477809
,386.474,0.163074
,439.773,-0.331549
,470.661,-0.147866
,527.275,0.853244
,533.235,0.939391
,611.388,0.224993
,630.192,-0.0319631
,691.852,-0.108429
,696.378,-0.0128418
,713.75,0.0212999
,732.279,0.259245
,812.364,-0.177494
,973.656,-0.37749
158202,25.3696,0.00320089
,27.7137,-0.00103582
,80.9519,-0.0871845
,134.152,0.00158144
,171.94,0.366561
,271.693,-0.474205
,310.81,0.119275
,338.264,0.490288
,386.474,0.166183
,439.773,-0.341717
,470.661,-0.155182
,527.275,0.856823
,533.235,0.942612
,611.388,0.219089
,630.192,-0.0303453
,691.852,-0.104291
,696.378,-0.0123417
,713.75,0.0081493
,732.279,0.270602
,812.364,-0.16798
,973.656,-0.38148
158071,25.3696,0.00319323
,27.7137,-0.00103031
,80.9519,-0.0810555
,134.152,0.00155747
,171.94,0.355968
,271.693,-0.461195
,310.81,0.115615
,338.264,0.452848
,386.474,0.156854
,439.773,-0.311192
,470.661,-0.133225
,527.275,0.846074
,533.235,0.932936
,611.388,0.236775
,630.192,-0.035198
,691.852,-0.116691
,696.378,-0.0138406
,713.75,0.0476024
,732.279,0.236526
,812.364,-0.196505
,973.656,-0.369489
