Loadcase/Frequency
Loadcase,Eigen Mode-Y
887776,25.3696,-0.00139088
,27.7137,0.00126971
,80.9519,0.248815
,134.152,-0.000707951
,171.94,0.000458303
,271.693,-0.000408734
,310.81,0.00647245
,338.264,0.227363
,386.474,-0.876329
,439.773,0.00103027
,470.661,0.000318611
,527.275,-0.0589351
,533.235,0.0531143
,611.388,-0.00180013
,630.192,-0.184528
,691.852,-0.00430492
,696.378,-0.00497861
,713.75,-0.295678
,732.279,0.0745422
,812.364,-2.79975e-05
,973.656,-0.828306
796946,25.3696,-0.001392
,27.7137,0.0012706
,80.9519,0.248815
,134.152,-0.000703337
,171.94,0.000932407
,271.693,-0.00076141
,310.81,0.0129802
,338.264,0.227365
,386.474,-0.876325
,439.773,0.00221688
,470.661,0.000624135
,527.275,-0.05894
,533.235,0.0531052
,611.388,-0.00366148
,630.192,-0.184524
,691.852,-0.00847107
,696.378,-0.00993309
,713.75,-0.295685
,732.279,0.0745509
,812.364,-0.000140738
,973.656,-0.828295
887771,25.3696,-0.00138864
,27.7137,0.00126794
,80.9519,0.248815
,134.152,-0.000717183
,171.94,-0.000490174
,271.693,0.000295999
,310.81,-0.00654286
,338.264,0.227363
,386.474,-0.876328
,439.773,-0.0013434
,470.661,-0.000293357
,527.275,-0.0589349
,533.235,0.0531137
,611.388,0.00192259
,630.192,-0.18453
,691.852,0.00402721
,696.378,0.00493032
,713.75,-0.295682
,732.279,0.07454
,812.364,0.000195238
,973.656,-0.828305
796954,25.3696,-0.00138976
,27.7137,0.00126882
,80.9519,0.248815
,134.152,-0.000712567
,171.94,-1.59256e-05
,271.693,-5.6345e-05
,310.81,-3.52077e-05
,338.264,0.227362
,386.474,-0.87633
,439.773,-0.000156553
,470.661,1.26605e-05
,527.275,-0.0589335
,533.235,0.0531169
,611.388,6.12279e-05
,630.192,-0.18453
,691.852,-0.00013886
,696.378,-2.41437e-05
,713.75,-0.295677
,732.279,0.0745387
,812.364,8.37027e-05
,973.656,-0.828309
796900,25.3696,-0.00138752
,27.7137,0.00126705
,80.9519,0.248815
,134.152,-0.0007218
,171.94,-0.00096432
,271.693,0.000648578
,310.81,-0.0130506
,338.264,0.227364
,386.474,-0.876323
,439.773,-0.00253009
,470.661,-0.000599023
,527.275,-0.0589396
,533.235,0.0531042
,611.388,0.00378395
,630.192,-0.184529
,691.852,0.00819335
,696.378,0.0098848
,713.75,-0.295693
,732.279,0.074546
,812.364,0.000307631
,973.656,-0.828293
