Loadcase/Frequency
Loadcase,Eigen Mode-Z
796922,25.3696,-0.000464332
,27.7137,0.00035546
,80.9519,-1.15458e-06
,134.152,0.00197244
,171.94,0.214744
,271.693,0.111458
,310.81,0.576132
,338.264,5.19307e-05
,386.474,-4.68431e-05
,439.773,0.220894
,470.661,0.134603
,527.275,2.90394e-06
,533.235,-1.68413e-05
,611.388,-0.319916
,630.192,5.26021e-05
,691.852,-0.765628
,696.378,-0.118414
,713.75,0.000359203
,732.279,0.000232578
,812.364,0.137697
,973.656,4.78628e-06
796944,25.3696,-0.00045986
,27.7137,0.000351916
,80.9519,-1.28502e-06
,134.152,0.00195452
,171.94,0.212952
,271.693,0.113109
,310.81,0.550045
,338.264,5.05471e-05
,386.474,-4.66317e-05
,439.773,0.216319
,470.661,0.133738
,527.275,4.48122e-06
,533.235,-1.56752e-05
,611.388,-0.312472
,630.192,4.75826e-05
,691.852,-0.748864
,696.378,-0.0985772
,713.75,0.000354116
,732.279,0.00022545
,812.364,0.139019
,973.656,3.22368e-06
887769,25.3696,-0.000463214
,27.7137,0.000354574
,80.9519,-1.21624e-06
,134.152,0.00196796
,171.94,0.214296
,271.693,0.111869
,310.81,0.569611
,338.264,5.15564e-05
,386.474,-4.72318e-05
,439.773,0.219749
,470.661,0.134384
,527.275,3.82887e-06
,533.235,-1.55534e-05
,611.388,-0.318055
,630.192,5.1148e-05
,691.852,-0.761438
,696.378,-0.113455
,713.75,0.000358408
,732.279,0.000230397
,812.364,0.13802
,973.656,3.37001e-06
796954,25.3696,-0.000462096
,27.7137,0.000353688
,80.9519,-1.25805e-06
,134.152,0.00196347
,171.94,0.213847
,271.693,0.112281
,310.81,0.563089
,338.264,5.11769e-05
,386.474,-4.72438e-05
,439.773,0.218605
,470.661,0.134167
,527.275,4.30571e-06
,533.235,-1.51096e-05
,611.388,-0.316194
,630.192,4.98564e-05
,691.852,-0.757247
,696.378,-0.108495
,713.75,0.000357297
,732.279,0.000228488
,812.364,0.138348
,973.656,2.82202e-06
887767,25.3696,-0.000460978
,27.7137,0.000352802
,80.9519,-1.27042e-06
,134.152,0.00195899
,171.94,0.2134
,271.693,0.112694
,310.81,0.556567
,338.264,5.09006e-05
,386.474,-4.70272e-05
,439.773,0.217461
,470.661,0.133951
,527.275,4.52911e-06
,533.235,-1.51516e-05
,611.388,-0.314333
,630.192,4.86889e-05
,691.852,-0.753055
,696.378,-0.103536
,713.75,0.000355707
,732.279,0.000226969
,812.364,0.138681
,973.656,2.86597e-06
