Loadcase/Frequency
Loadcase,Eigen Mode-Y
267183,80.8118,0.151994
,200.126,-0.000652511
,274.567,-0.000237374
,311.21,-0.006507
,337.503,0.122384
,386.722,-0.90146
,414.104,0.000321501
,500.644,0.000704057
,529.134,0.00639491
,536.291,0.214992
,620.413,0.00192731
,630.696,0.215371
252098,80.8118,0.151994
,200.126,-1.72046e-05
,274.567,-6.36664e-05
,311.21,3.57885e-05
,337.503,0.122382
,386.722,-0.901461
,414.104,-0.000506412
,500.644,-0.000146235
,529.134,0.00639219
,536.291,0.214988
,620.413,-9.31281e-06
,630.696,0.215371
267135,80.8118,0.151994
,200.126,0.000618118
,274.567,0.000110062
,311.21,0.00657857
,337.503,0.122383
,386.722,-0.901459
,414.104,-0.00133437
,500.644,-0.000996549
,529.134,0.00639433
,536.291,0.214991
,620.413,-0.00194588
,630.696,0.21537
252114,80.8118,0.151994
,200.126,0.00125344
,274.567,0.000283786
,311.21,0.0131214
,337.503,0.122385
,386.722,-0.901453
,414.104,-0.00216232
,500.644,-0.00184686
,529.134,0.00640127
,536.291,0.215
,620.413,-0.00388247
,630.696,0.21537
252074,80.8118,0.151994
,200.126,-0.00128762
,274.567,-0.000410833
,311.21,-0.0130499
,337.503,0.122387
,386.722,-0.901456
,414.104,0.00114889
,500.644,0.00155412
,529.134,0.00640187
,536.291,0.215001
,620.413,0.00386481
,630.696,0.215371
