Loadcase/Frequency
Loadcase,Eigen Mode-Z
252098,80.8118,1.3747e-05
,200.126,0.1859
,274.567,0.102006
,311.21,0.547477
,337.503,-9.13137e-06
,386.722,0.000134385
,414.104,-0.204663
,500.644,-0.174579
,529.134,3.89271e-05
,536.291,-3.25101e-05
,620.413,-0.193769
,630.696,-0.000114159
267131,80.8118,1.36571e-05
,200.126,0.185297
,274.567,0.101874
,311.21,0.540908
,337.503,-9.5619e-06
,386.722,0.000133695
,414.104,-0.203923
,500.644,-0.173767
,529.134,3.8759e-05
,536.291,-3.29403e-05
,620.413,-0.191686
,630.696,-0.000113898
252082,80.8118,1.39299e-05
,200.126,0.187108
,274.567,0.102274
,311.21,0.560615
,337.503,-8.3469e-06
,386.722,0.000136267
,414.104,-0.20615
,500.644,-0.176206
,529.134,3.9904e-05
,536.291,-3.08903e-05
,620.413,-0.197929
,630.696,-0.000114665
267153,80.8118,1.38416e-05
,200.126,0.186504
,274.567,0.10214
,311.21,0.554046
,337.503,-8.69822e-06
,386.722,0.000135267
,414.104,-0.205406
,500.644,-0.175392
,529.134,3.9348e-05
,536.291,-3.17746e-05
,620.413,-0.195851
,630.696,-0.000114419
252096,80.8118,1.35924e-05
,200.126,0.184695
,274.567,0.101742
,311.21,0.534338
,337.503,-9.76817e-06
,386.722,0.000133005
,414.104,-0.203184
,500.644,-0.172956
,529.134,3.86564e-05
,536.291,-3.32433e-05
,620.413,-0.1896
,630.696,-0.000113669
