Loadcase/Frequency
Loadcase,Eigen Mode-Y
60242,80.8118,-1.68721
,200.126,-0.915525
,274.567,0.191344
,311.21,0.038573
,337.503,0.58994
,386.722,0.0939098
,414.104,-0.625745
,500.644,0.736244
,529.134,0.110879
,536.291,0.198352
,620.413,-0.620381
,630.696,-0.0549232
77690,80.8118,-1.68517
,200.126,-0.912446
,274.567,0.186531
,311.21,0.037202
,337.503,0.602377
,386.722,0.0908428
,414.104,-0.631466
,500.644,0.722866
,529.134,0.108529
,536.291,0.194715
,620.413,-0.624195
,630.696,-0.0532719
77691,80.8118,-1.68109
,200.126,-0.906295
,274.567,0.176908
,311.21,0.0344603
,337.503,0.627251
,386.722,0.0847096
,414.104,-0.642909
,500.644,0.696107
,529.134,0.10383
,536.291,0.187445
,620.413,-0.63183
,630.696,-0.049969
60261,80.8118,-1.68313
,200.126,-0.90937
,274.567,0.181719
,311.21,0.0358311
,337.503,0.614814
,386.722,0.0877759
,414.104,-0.637187
,500.644,0.709487
,529.134,0.106179
,536.291,0.19108
,620.413,-0.628012
,630.696,-0.0516205
60248,80.8118,-1.67906
,200.126,-0.903222
,274.567,0.172097
,311.21,0.0330895
,337.503,0.639689
,386.722,0.0816434
,414.104,-0.64863
,500.644,0.682726
,529.134,0.101481
,536.291,0.18381
,620.413,-0.635647
,630.696,-0.0483174
