Loadcase/Frequency
Loadcase,Eigen Mode-X
77688,80.8118,-0.0896663
,200.126,-0.33634
,274.567,0.553653
,311.21,0.142628
,337.503,-0.467839
,386.722,0.156028
,414.104,0.108454
,500.644,0.442971
,529.134,0.562422
,536.291,1.14194
,620.413,-0.359051
,630.696,0.0293101
60259,80.8118,-0.0876295
,200.126,-0.3332
,274.567,0.548674
,311.21,0.141216
,337.503,-0.45536
,386.722,0.152945
,414.104,0.102578
,500.644,0.429428
,529.134,0.559962
,536.291,1.13808
,620.413,-0.36246
,630.696,0.0309539
60254,80.8118,-0.0957768
,200.126,-0.34575
,274.567,0.568564
,311.21,0.146857
,337.503,-0.50527
,386.722,0.165274
,414.104,0.126049
,500.644,0.483581
,529.134,0.569786
,536.291,1.15351
,620.413,-0.348773
,630.696,0.0243773
77698,80.8118,-0.09374
,200.126,-0.342615
,274.567,0.563598
,311.21,0.145449
,337.503,-0.492794
,386.722,0.162192
,414.104,0.120189
,500.644,0.470048
,529.134,0.567334
,536.291,1.14966
,620.413,-0.352208
,630.696,0.0260218
60261,80.8118,-0.0917031
,200.126,-0.339479
,274.567,0.558627
,311.21,0.144039
,337.503,-0.480317
,386.722,0.15911
,414.104,0.114324
,500.644,0.456511
,529.134,0.564879
,536.291,1.1458
,620.413,-0.355633
,630.696,0.0276661
