Loadcase/Frequency
Loadcase,Eigen Mode-Z
295540,80.8118,9.13606e-06
,200.126,0.18844
,274.567,0.113259
,311.21,-0.0146601
,337.503,-1.12717e-05
,386.722,-8.63505e-06
,414.104,-0.0336218
,500.644,0.0154353
,529.134,9.72248e-05
,536.291,-5.52308e-05
,620.413,-0.0375929
,630.696,-6.83532e-05
276662,80.8118,9.1235e-06
,200.126,0.188526
,274.567,0.113275
,311.21,-0.0149324
,337.503,-1.13117e-05
,386.722,-9.42759e-06
,414.104,-0.0331908
,500.644,0.0158678
,529.134,9.79429e-05
,536.291,-5.56372e-05
,620.413,-0.0380057
,630.696,-6.8647e-05
295535,80.8118,9.15003e-06
,200.126,0.188272
,274.567,0.113234
,311.21,-0.0141132
,337.503,-1.12635e-05
,386.722,-7.60969e-06
,414.104,-0.0344907
,500.644,0.0145765
,529.134,9.68424e-05
,536.291,-5.46973e-05
,620.413,-0.0367413
,630.696,-6.77395e-05
276377,80.8118,9.14653e-06
,200.126,0.188191
,274.567,0.113224
,311.21,-0.0138419
,337.503,-1.13021e-05
,386.722,-7.59903e-06
,414.104,-0.0349277
,500.644,0.0141509
,529.134,9.70159e-05
,536.291,-5.45007e-05
,620.413,-0.0363031
,630.696,-6.76847e-05
276659,80.8118,9.14502e-06
,200.126,0.188355
,274.567,0.113246
,311.21,-0.0143865
,337.503,-1.12563e-05
,386.722,-8.02996e-06
,414.104,-0.0340553
,500.644,0.0150048
,529.134,9.69633e-05
,536.291,-5.4966e-05
,620.413,-0.0371714
,630.696,-6.80152e-05
