Loadcase/Frequency
Loadcase,Eigen Mode-X
295541,80.8118,-0.00127379
,200.126,8.6959e-05
,274.567,2.51858e-05
,311.21,0.000576751
,337.503,0.0534337
,386.722,-0.0191432
,414.104,0.000266185
,500.644,0.000311684
,529.134,-0.13039
,536.291,-0.274625
,620.413,-0.000120344
,630.696,-0.0198579
276378,80.8118,-0.00127379
,200.126,0.000189499
,274.567,5.75103e-05
,311.21,0.00113203
,337.503,0.0534337
,386.722,-0.019143
,414.104,0.000470838
,500.644,0.0005768
,529.134,-0.13039
,536.291,-0.274624
,620.413,-0.000416978
,630.696,-0.0198577
295537,80.8118,-0.00127378
,200.126,-0.000118192
,274.567,-3.9538e-05
,311.21,-0.000536429
,337.503,0.0534336
,386.722,-0.019143
,414.104,-0.000142382
,500.644,-0.000218042
,529.134,-0.13039
,536.291,-0.274624
,620.413,0.000472461
,630.696,-0.0198576
276658,80.8118,-0.00127377
,200.126,-0.000220752
,274.567,-7.18861e-05
,311.21,-0.00109196
,337.503,0.0534337
,386.722,-0.0191425
,414.104,-0.000346947
,500.644,-0.000483126
,529.134,-0.13039
,536.291,-0.274624
,620.413,0.00076898
,630.696,-0.0198572
276659,80.8118,-0.00127379
,200.126,-1.56114e-05
,274.567,-7.17022e-06
,311.21,2.0247e-05
,337.503,0.0534336
,386.722,-0.0191432
,414.104,6.18737e-05
,500.644,4.68083e-05
,529.134,-0.13039
,536.291,-0.274625
,620.413,0.000176088
,630.696,-0.0198579
