Loadcase/Frequency
Loadcase,Eigen Mode-Y
77371,80.8118,-1.68513
,200.126,0.912596
,274.567,-0.186296
,311.21,-0.0372577
,337.503,0.602575
,386.722,0.0905101
,414.104,0.63124
,500.644,-0.723027
,529.134,0.108475
,536.291,0.195449
,620.413,0.623441
,630.696,-0.0537431
60420,80.8118,-1.68309
,200.126,0.909519
,274.567,-0.181481
,311.21,-0.0358855
,337.503,0.615014
,386.722,0.0874345
,414.104,0.636964
,500.644,-0.709645
,529.134,0.106141
,536.291,0.191821
,620.413,0.627263
,630.696,-0.0520971
77375,80.8118,-1.68105
,200.126,0.906443
,274.567,-0.176666
,311.21,-0.0345133
,337.503,0.627452
,386.722,0.0843594
,414.104,0.642688
,500.644,-0.696262
,529.134,0.103808
,536.291,0.188194
,620.413,0.631085
,630.696,-0.050451
60407,80.8118,-1.67902
,200.126,0.903369
,274.567,-0.171851
,311.21,-0.033141
,337.503,0.639891
,386.722,0.0812843
,414.104,0.648413
,500.644,-0.682876
,529.134,0.101474
,536.291,0.184565
,620.413,0.634907
,630.696,-0.0488049
60401,80.8118,-1.68716
,200.126,0.915675
,274.567,-0.191113
,311.21,-0.0386301
,337.503,0.590137
,386.722,0.093586
,414.104,0.625516
,500.644,-0.736408
,529.134,0.110809
,536.291,0.199079
,620.413,0.619622
,630.696,-0.055389
