Loadcase/Frequency
Loadcase,Eigen Mode-X
60417,80.8118,-0.0875926
,200.126,0.333395
,274.567,-0.548615
,311.21,-0.141408
,337.503,-0.455193
,386.722,0.153338
,414.104,-0.103214
,500.644,-0.429854
,529.134,0.559808
,536.291,1.13832
,620.413,0.361166
,630.696,0.0306629
77379,80.8118,-0.0896288
,200.126,0.336536
,274.567,-0.553597
,311.21,-0.142822
,337.503,-0.467673
,386.722,0.156429
,414.104,-0.109091
,500.644,-0.4434
,529.134,0.562251
,536.291,1.14218
,620.413,0.35775
,630.696,0.029024
60413,80.8118,-0.0957376
,200.126,0.345949
,274.567,-0.568515
,311.21,-0.147055
,337.503,-0.505108
,386.722,0.165703
,414.104,-0.126691
,500.644,-0.48402
,529.134,0.569568
,536.291,1.15371
,620.413,0.347447
,630.696,0.0241059
60420,80.8118,-0.0916651
,200.126,0.339675
,274.567,-0.558574
,311.21,-0.144234
,337.503,-0.480152
,386.722,0.159521
,414.104,-0.114962
,500.644,-0.456944
,529.134,0.564692
,536.291,1.14603
,620.413,0.354325
,630.696,0.0273849
77369,80.8118,-0.0937013
,200.126,0.342813
,274.567,-0.563547
,311.21,-0.145645
,337.503,-0.492631
,386.722,0.162612
,414.104,-0.120829
,500.644,-0.470484
,529.134,0.567131
,536.291,1.14987
,620.413,0.350891
,630.696,0.0257455
