Loadcase/Frequency
Loadcase,Eigen Mode-Y
251364,80.8118,0.254393
,200.126,-2.33772e-05
,274.567,-8.04379e-05
,311.21,2.3268e-05
,337.503,-0.228322
,386.722,-0.877019
,414.104,-0.000457943
,500.644,-0.000128744
,529.134,-0.0775378
,536.291,0.0227221
,620.413,0.000226012
,630.696,0.184668
251358,80.8118,0.254393
,200.126,-0.000510495
,274.567,0.000263071
,311.21,0.0130173
,337.503,-0.228325
,386.722,-0.877011
,414.104,-0.0033897
,500.644,-2.45942e-05
,529.134,-0.0775413
,536.291,0.0227066
,620.413,0.00362735
,630.696,0.184665
268945,80.8118,0.254393
,200.126,-0.000267052
,274.567,9.11914e-05
,311.21,0.00652024
,337.503,-0.228323
,386.722,-0.877016
,414.104,-0.00192388
,500.644,-7.69614e-05
,529.134,-0.0775388
,536.291,0.0227181
,620.413,0.00192677
,630.696,0.184667
251348,80.8118,0.254393
,200.126,0.000463926
,274.567,-0.000423748
,311.21,-0.0129707
,337.503,-0.228324
,386.722,-0.877016
,414.104,0.00247393
,500.644,-0.000232418
,529.134,-0.0775401
,536.291,0.0227103
,620.413,-0.00317552
,630.696,0.184665
268953,80.8118,0.254393
,200.126,0.000220402
,274.567,-0.000251954
,311.21,-0.00647369
,337.503,-0.228323
,386.722,-0.877019
,414.104,0.00100804
,500.644,-0.000180262
,529.134,-0.0775383
,536.291,0.0227196
,620.413,-0.00147484
,630.696,0.184667
