Loadcase/Frequency
Loadcase,Eigen Mode-Z
251322,80.8118,1.00933e-05
,200.126,0.231735
,274.567,0.0875814
,311.21,-0.579279
,337.503,-3.56255e-06
,386.722,-0.000204181
,414.104,0.225544
,500.644,0.0920069
,529.134,0.000120635
,536.291,2.28102e-05
,620.413,-0.317254
,630.696,-5.707e-07
251364,80.8118,1.00728e-05
,200.126,0.23133
,274.567,0.0880136
,311.21,-0.566261
,337.503,-3.90475e-06
,386.722,-0.000201466
,414.104,0.222645
,500.644,0.092316
,529.134,0.000120219
,536.291,2.11424e-05
,620.413,-0.313908
,630.696,-6.36754e-07
268941,80.8118,1.01217e-05
,200.126,0.231128
,274.567,0.0882307
,311.21,-0.559752
,337.503,-4.29839e-06
,386.722,-0.000199713
,414.104,0.221196
,500.644,0.092473
,529.134,0.000119789
,536.291,1.93007e-05
,620.413,-0.312235
,630.696,-8.97658e-07
251336,80.8118,1.01956e-05
,200.126,0.230927
,274.567,0.0884487
,311.21,-0.553243
,337.503,-4.76129e-06
,386.722,-0.000197714
,414.104,0.219747
,500.644,0.092632
,529.134,0.000119229
,536.291,1.68478e-05
,620.413,-0.310564
,630.696,-1.28045e-06
268949,80.8118,1.0071e-05
,200.126,0.231532
,274.567,0.0877972
,311.21,-0.57277
,337.503,-3.65441e-06
,386.722,-0.000202802
,414.104,0.224094
,500.644,0.0921607
,529.134,0.00012041
,536.291,2.19086e-05
,620.413,-0.31558
,630.696,-5.94251e-07
